product_num,customer_num,buyer,cases
123,191702,1,5
123,191710,1,4
123,191713,1,3
123,191814,1,22
123,230114,1,4
123,230427,1,2
123,230431,1,1
123,230441,1,3
123,230902,1,8
123,230911,1,9
123,230920,1,1
123,231203,1,2
123,231214,1,10
123,231308,1,1
123,231316,1,5
123,231701,1,1
123,231805,1,3
124,15014,1,2
124,20025,1,2
124,21026,1,1
124,21044,1,1
124,21048,1,2
124,22022,1,1
124,25045,1,1
124,27046,1,17
124,27072,1,4
124,30004,1,5
124,36016,1,5
124,40010,1,2
124,40017,1,3
124,41012,1,1
124,43001,1,-5
124,50020,1,5
124,60002,1,9
124,83010,1,12
124,191710,1,6
124,191713,1,0
124,231315,1,3
124,231316,1,11
127,1012,1,3
127,1015,1,2
127,3001,1,3
127,11005,1,5
127,13017,1,6
127,15016,1,1
127,20104,1,3
127,24011,1,3
127,25031,1,2
127,27005,1,-1
127,28007,1,2
127,28012,1,2
127,34009,1,3
127,40017,1,1
127,60002,1,3
127,70001,1,5
127,73008,1,5
127,83001,1,2
127,94008,1,5
127,190207,1,3
127,190917,1,2
127,191710,1,6
127,230427,1,5
127,230911,1,2
127,230924,1,10
127,231316,1,5
201,1002,1,1
201,1005,1,7
201,1010,1,2
201,1017,1,6
201,1024,1,1
201,3002,1,2
201,5003,1,2
201,5008,1,0
201,7003,1,2
201,7005,1,1
201,8015,1,4
201,10007,1,1
201,12007,1,12
201,12011,1,0
201,12022,1,2
201,12026,1,4
201,12034,1,0
201,12036,1,1
201,12038,1,2
201,12043,1,1
201,12047,1,3
201,12057,1,4
201,12065,1,1
201,13002,1,2
201,13003,1,2
201,13016,1,2
201,14002,1,2
201,14008,1,5
201,15074,1,3
201,17001,1,1
201,17009,1,5
201,19004,1,6
201,19005,1,0
201,19009,1,4
201,20038,1,2
201,22004,1,4
201,22009,1,6
201,23001,1,1
201,23012,1,1
201,24006,1,2
201,24019,1,4
201,24022,1,2
201,24025,1,2
201,24026,1,5
201,24031,1,4
201,24045,1,0
201,25049,1,4
201,25056,1,8
201,25077,1,2
201,25078,1,2
201,25083,1,3
201,28008,1,3
201,28027,1,1
201,29019,1,2
201,29030,1,1
201,29051,1,16
201,30003,1,3
201,31011,1,-2
201,31020,1,2
201,31023,1,5
201,31026,1,4
201,31027,1,12
201,31039,1,3
201,31056,1,0
201,32005,1,6
201,32010,1,0
201,32023,1,2
201,34002,1,4
201,36015,1,2
201,37034,1,6
201,38020,1,3
201,38039,1,3
201,39018,1,2
201,40005,1,2
201,41006,1,6
201,41013,1,0
201,41016,1,2
201,41023,1,0
201,41033,1,2
201,42003,1,4
201,45005,1,4
201,49059,1,1
201,49076,1,1
201,49085,1,1
201,50015,1,1
201,53007,1,2
201,56001,1,1
201,56009,1,5
201,57004,1,2
201,58001,1,3
201,60012,1,2
201,65001,1,1
201,70004,1,7
201,71001,1,3
201,73002,1,4
201,74004,1,2
201,75004,1,2
201,76005,1,2
201,76013,1,3
201,78017,1,0
201,79001,1,4
201,80007,1,4
201,80009,1,2
201,80018,1,10
201,80024,1,2
201,81015,1,2
201,81031,1,-2
201,83010,1,3
201,84007,1,2
201,84015,1,2
201,87001,1,1
201,88002,1,4
201,88003,1,1
201,92008,1,1
201,92010,1,0
201,92011,1,2
201,92012,1,0
201,92014,1,1
201,93002,1,0
201,93004,1,2
201,94006,1,0
201,94013,1,1
201,95002,1,4
201,96006,1,10
201,190108,1,3
201,190205,1,3
201,190214,1,10
201,190601,1,4
201,190704,1,4
201,190707,1,4
201,190709,1,2
201,191007,1,3
201,191210,1,3
201,191213,1,1
201,191505,1,3
201,191702,1,2
201,230120,1,2
201,230122,1,2
201,230405,1,4
201,230422,1,1
201,230430,1,4
201,230929,1,1
201,231203,1,2
201,231213,1,1
201,231703,1,1
201,231708,1,4
201,231713,1,1
202,1015,1,1
202,12007,1,-2
202,12048,1,1
202,13018,1,2
202,14007,1,0
202,15079,1,1
202,20081,1,0
202,20106,1,0
202,24011,1,0
202,25027,1,1
202,25051,1,1
202,29014,1,1
202,29041,1,1
202,29052,1,0
202,30005,1,1
202,42015,1,1
202,47005,1,2
202,49012,1,0
202,50006,1,2
202,56022,1,2
202,57013,1,1
202,58001,1,3
202,60001,1,2
202,73007,1,2
202,75004,1,2
202,80054,1,2
202,80057,1,0
202,83010,1,2
202,86005,1,3
202,92002,1,1
202,92006,1,1
202,92011,1,3
202,190207,1,0
202,190723,1,0
202,191526,1,10
202,191719,1,1
202,191814,1,1
202,230427,1,1
206,1012,1,7
206,3001,1,3
206,13001,1,5
206,15012,1,7
206,15013,1,10
206,15014,1,5
206,15016,1,33
206,15018,1,45
206,15040,1,1
206,15045,1,150
206,17011,1,20
206,20021,1,10
206,20025,1,10
206,20027,1,45
206,20030,1,20
206,20031,1,45
206,20037,1,40
206,20040,1,10
206,20056,1,10
206,20061,1,80
206,20062,1,10
206,20066,1,5
206,20068,1,5
206,20069,1,10
206,20070,1,5
206,20080,1,12
206,20106,1,25
206,20127,1,15
206,20130,1,20
206,21023,1,5
206,21024,1,5
206,21033,1,25
206,21034,1,5
206,21042,1,14
206,21044,1,5
206,21048,1,8
206,21054,1,9
206,21055,1,5
206,22022,1,1
206,22024,1,2
206,22032,1,20
206,22067,1,20
206,23004,1,10
206,23012,1,3
206,24002,1,5
206,24003,1,6
206,24011,1,60
206,24016,1,5
206,25008,1,1
206,25015,1,5
206,25031,1,2
206,25045,1,30
206,26014,1,25
206,27002,1,-2
206,27005,1,10
206,27031,1,10
206,27034,1,15
206,27046,1,7
206,27050,1,10
206,27069,1,15
206,27077,1,99
206,27094,1,100
206,28006,1,3
206,28012,1,14
206,29003,1,3
206,29004,1,3
206,29013,1,5
206,30005,1,5
206,31019,1,400
206,32017,1,4
206,36007,1,2
206,37023,1,5
206,38007,1,127
206,38008,1,5
206,39001,1,5
206,39012,1,5
206,40010,1,5
206,40017,1,5
206,40022,1,5
206,42010,1,2
206,43001,1,3
206,43004,1,5
206,44010,1,-1
206,44027,1,10
206,47009,1,1
206,49045,1,5
206,50009,1,-1
206,52015,1,5
206,56007,1,5
206,58001,1,5
206,60001,1,1
206,60002,1,4
206,67004,1,7
206,70003,1,2
206,76010,1,10
206,76022,1,10
206,78008,1,10
206,80005,1,-2
206,81014,1,13
206,81017,1,15
206,92008,1,5
206,92011,1,4
206,94001,1,3
206,94008,1,2
206,96002,1,5
206,190101,1,3
206,190216,1,-4
206,191010,1,5
206,191408,1,2
206,191526,1,9
206,191606,1,1
206,191702,1,5
206,191710,1,5
206,191814,1,2
206,230105,1,5
206,230427,1,10
206,230441,1,3
206,231215,1,1
206,231304,1,6
206,231316,1,5
206,231701,1,-2
206,231703,1,2
209,1012,1,3
209,3001,1,2
209,4009,1,5
209,13001,1,5
209,15012,1,5
209,15013,1,5
209,15016,1,10
209,15034,1,5
209,15037,1,5
209,17002,1,5
209,20021,1,5
209,20025,1,5
209,20062,1,3
209,20080,1,5
209,20106,1,10
209,21012,1,4
209,21023,1,5
209,21031,1,5
209,21033,1,5
209,21034,1,10
209,21035,1,5
209,21048,1,2
209,21054,1,1
209,22022,1,3
209,22024,1,3
209,22032,1,15
209,23002,1,5
209,23007,1,5
209,24003,1,1
209,24011,1,6
209,25008,1,4
209,25031,1,3
209,25045,1,5
209,27005,1,1
209,27043,1,-7
209,27046,1,3
209,27066,1,20
209,27069,1,5
209,28001,1,15
209,28012,1,1
209,29003,1,5
209,29004,1,2
209,32017,1,1
209,36007,1,3
209,39001,1,10
209,40010,1,10
209,40017,1,5
209,42011,1,5
209,43001,1,3
209,43015,1,10
209,44009,1,5
209,44016,1,5
209,46019,1,5
209,47005,1,10
209,49055,1,5
209,52015,1,5
209,67004,1,3
209,73008,1,5
209,76006,1,5
209,77009,1,5
209,78008,1,5
209,81014,1,2
209,83010,1,5
209,92011,1,3
209,94008,1,3
209,191010,1,5
209,191408,1,3
209,191526,1,1
209,230441,1,2
209,231215,1,4
209,231717,1,5
212,1002,1,1
212,1003,1,5
212,1012,1,11
212,1015,1,2
212,1022,1,2
212,1023,1,10
212,1031,1,2
212,1035,1,2
212,1214,1,22
212,2002,1,5
212,3005,1,6
212,3011,1,20
212,3012,1,2
212,4002,1,4
212,4009,1,5
212,5003,1,1
212,5004,1,2
212,5006,1,5
212,6002,1,10
212,6004,1,4
212,6005,1,5
212,8008,1,7
212,9003,1,4
212,10003,1,2
212,11001,1,1
212,11003,1,5
212,11014,1,6
212,12006,1,2
212,12011,1,7
212,12023,1,2
212,12067,1,2
212,13001,1,10
212,13017,1,3
212,14007,1,6
212,15037,1,5
212,15081,1,2
212,17010,1,10
212,17011,1,5
212,18001,1,8
212,19008,1,10
212,19009,1,8
212,20021,1,10
212,20068,1,5
212,20079,1,-1
212,20106,1,3
212,20131,1,10
212,21001,1,5
212,21006,1,10
212,21023,1,5
212,21031,1,6
212,21033,1,5
212,21034,1,5
212,21048,1,10
212,21050,1,3
212,21055,1,2
212,22022,1,2
212,23003,1,2
212,23004,1,5
212,23006,1,2
212,23007,1,3
212,23012,1,3
212,24003,1,2
212,24005,1,5
212,24011,1,5
212,24016,1,5
212,24017,1,5
212,24030,1,2
212,25008,1,3
212,25010,1,6
212,25012,1,4
212,25017,1,2
212,25023,1,1
212,25031,1,5
212,25045,1,4
212,26001,1,3
212,27008,1,8
212,27031,1,9
212,27032,1,5
212,27037,1,2
212,27050,1,5
212,27069,1,5
212,27071,1,5
212,28001,1,2
212,28007,1,6
212,28011,1,1
212,28012,1,3
212,28024,1,9
212,29003,1,2
212,29004,1,5
212,29009,1,3
212,29011,1,2
212,29012,1,3
212,29013,1,3
212,29033,1,1
212,29045,1,2
212,30003,1,1
212,30004,1,5
212,30005,1,3
212,30017,1,4
212,31004,1,3
212,31008,1,3
212,31009,1,4
212,31020,1,1
212,31022,1,2
212,31023,1,2
212,31036,1,2
212,31046,1,1
212,32008,1,7
212,32017,1,6
212,32020,1,1
212,33003,1,2
212,33005,1,1
212,33006,1,3
212,34001,1,5
212,34006,1,2
212,34018,1,3
212,35002,1,1
212,36007,1,2
212,36008,1,13
212,36016,1,2
212,37001,1,3
212,37005,1,6
212,37007,1,1
212,37022,1,4
212,37044,1,5
212,37047,1,8
212,37055,1,2
212,38001,1,1
212,38007,1,5
212,38008,1,4
212,38016,1,5
212,38017,1,2
212,38040,1,3
212,39012,1,10
212,39017,1,1
212,40001,1,2
212,40004,1,3
212,40010,1,9
212,40017,1,6
212,40019,1,3
212,40022,1,9
212,40037,1,1
212,40038,1,3
212,41006,1,20
212,41012,1,4
212,41013,1,2
212,41033,1,1
212,42014,1,1
212,43001,1,5
212,43002,1,3
212,43004,1,2
212,43005,1,5
212,43013,1,2
212,44012,1,3
212,44016,1,10
212,44027,1,2
212,44028,1,3
212,44049,1,-5
212,45002,1,3
212,45007,1,2
212,45015,1,10
212,46009,1,4
212,46015,1,10
212,46019,1,2
212,46033,1,5
212,47004,1,2
212,47009,1,5
212,47011,1,4
212,47017,1,12
212,48002,1,5
212,48006,1,2
212,49004,1,1
