Customer Num,Customer Name,Brand Family,Load Sheet Date,Case Equiv   2025,Case Equiv   2026,Case Equiv Unit Difference,Case Equiv Percentage Difference,$vol   2025,$vol   2026,$vol Unit Difference,$vol Percentage Difference,Gross Profit   2025,Gross Profit   2026,Gross Profit Unit Difference,Gross Profit Percentage Difference
67005,Shoprite Liq (A)Northvle,Lite,6/12/2026,,10.00,10.00,0.0%,,$246.00,$246.00,0.0%,,$66.32,$66.32,0.0%
67005,Shoprite Liq (A)Northvle,Corona Extra,5/5/2026,,60.00,60.00,0.0%,,"$1,907.50","$1,907.50",0.0%,,$555.95,$555.95,0.0%
67005,Shoprite Liq (A)Northvle,Coors Light,2/25/2025,15.00,,-15.00,-100.0%,$282.75,,($282.75),-100.0%,$91.20,,($91.20),-100.0%
67005,Shoprite Liq (A)Northvle,Coors Light,5/5/2026,,15.00,15.00,0.0%,,$332.00,$332.00,0.0%,,$102.45,$102.45,0.0%
67005,Shoprite Liq (A)Northvle,Corona Light,6/5/2026,,10.00,10.00,0.0%,,$290.00,$290.00,0.0%,,$83.30,$83.30,0.0%
67005,Shoprite Liq (A)Northvle,Corona Light,6/26/2026,,20.00,20.00,0.0%,,$625.00,$625.00,0.0%,,$174.90,$174.90,0.0%
67005,Shoprite Liq (A)Northvle,Pabst Blue Ribbon,5/28/2025,36.25,,-36.25,-100.0%,$565.50,,($565.50),-100.0%,$134.27,,($134.27),-100.0%
67005,Shoprite Liq (A)Northvle,Tyskie Gronie,1/14/2025,5.15,,-5.15,-100.0%,$121.50,,($121.50),-100.0%,$28.39,,($28.39),-100.0%
67005,Shoprite Liq (A)Northvle,Blue Moon,3/27/2026,,10.00,10.00,0.0%,,$325.00,$325.00,0.0%,,$90.62,$90.62,0.0%
67005,Shoprite Liq (A)Northvle,Pilsner Urquell,2/21/2025,5.00,,-5.00,-100.0%,$163.00,,($163.00),-100.0%,$45.59,,($45.59),-100.0%
67005,Shoprite Liq (A)Northvle,Coors Light,1/7/2025,10.00,,-10.00,-100.0%,$193.00,,($193.00),-100.0%,$59.41,,($59.41),-100.0%
67005,Shoprite Liq (A)Northvle,Fever Tree,5/29/2026,,5.57,5.57,0.0%,,$234.50,$234.50,0.0%,,$66.41,$66.41,0.0%
67005,Shoprite Liq (A)Northvle,Miller High Life,6/20/2025,3.75,,-3.75,-100.0%,$78.50,,($78.50),-100.0%,$20.10,,($20.10),-100.0%
67005,Shoprite Liq (A)Northvle,Twisted Tea,2/20/2026,,7.00,7.00,0.0%,,$218.75,$218.75,0.0%,,$61.95,$61.95,0.0%
67005,Shoprite Liq (A)Northvle,Corona Premier,2/10/2026,,30.00,30.00,0.0%,,$808.50,$808.50,0.0%,,$230.45,$230.45,0.0%
67005,Shoprite Liq (A)Northvle,Yuengling Premium Light,2/11/2025,10.00,,-10.00,-100.0%,$149.50,,($149.50),-100.0%,$34.21,,($34.21),-100.0%
67005,Shoprite Liq (A)Northvle,Doc's,2/6/2026,,6.83,6.83,0.0%,,$278.50,$278.50,0.0%,,$78.19,$78.19,0.0%
67005,Shoprite Liq (A)Northvle,White Claw,6/26/2026,,104.00,104.00,0.0%,,"$3,239.10","$3,239.10",0.0%,,$879.77,$879.77,0.0%
67005,Shoprite Liq (A)Northvle,Yuengling Flight,6/28/2025,3.50,,-3.50,-100.0%,$68.00,,($68.00),-100.0%,$17.26,,($17.26),-100.0%
67005,Shoprite Liq (A)Northvle,Coors Light,2/18/2025,115.00,,-115.00,-100.0%,"$2,426.00",,"($2,426.00)",-100.0%,$680.43,,($680.43),-100.0%
67005,Shoprite Liq (A)Northvle,Amstel,5/20/2025,10.00,,-10.00,-100.0%,$303.00,,($303.00),-100.0%,$78.05,,($78.05),-100.0%
67005,Shoprite Liq (A)Northvle,Del's Shandy,6/12/2026,,5.00,5.00,0.0%,,$165.00,$165.00,0.0%,,$46.40,$46.40,0.0%
67005,Shoprite Liq (A)Northvle,Milwaukee's Best Ice,4/25/2025,12.50,,-12.50,-100.0%,$200.00,,($200.00),-100.0%,$48.65,,($48.65),-100.0%
67005,Shoprite Liq (A)Northvle,Bell's Hearted Family,1/6/2026,,2.00,2.00,0.0%,,$68.10,$68.10,0.0%,,$23.45,$23.45,0.0%
67005,Shoprite Liq (A)Northvle,Angry Orchard,1/17/2025,5.00,,-5.00,-100.0%,$180.00,,($180.00),-100.0%,$50.81,,($50.81),-100.0%
67005,Shoprite Liq (A)Northvle,Paulaner,6/12/2026,,4.67,4.67,0.0%,,$166.25,$166.25,0.0%,,$56.67,$56.67,0.0%
67005,Shoprite Liq (A)Northvle,Twisted Tea,5/12/2026,,200.00,200.00,0.0%,,"$4,800.00","$4,800.00",0.0%,,"$1,262.00","$1,262.00",0.0%
67005,Shoprite Liq (A)Northvle,Yuengling Black & Tan,3/25/2025,9.00,,-9.00,-100.0%,$221.40,,($221.40),-100.0%,$67.59,,($67.59),-100.0%
67005,Shoprite Liq (A)Northvle,Narragansett,6/16/2026,,10.00,10.00,0.0%,,$225.00,$225.00,0.0%,,$52.90,$52.90,0.0%
67005,Shoprite Liq (A)Northvle,Twisted Tea,6/26/2026,,3.00,3.00,0.0%,,$87.00,$87.00,0.0%,,$22.80,$22.80,0.0%
67005,Shoprite Liq (A)Northvle,Voodoo Family,5/16/2025,15.00,,-15.00,-100.0%,$486.00,,($486.00),-100.0%,$123.60,,($123.60),-100.0%
67005,Shoprite Liq (A)Northvle,Heineken Light,6/16/2026,,20.00,20.00,0.0%,,$620.00,$620.00,0.0%,,$156.20,$156.20,0.0%
67005,Shoprite Liq (A)Northvle,Heineken USA,2/13/2026,,5.00,5.00,0.0%,,$156.50,$156.50,0.0%,,$44.05,$44.05,0.0%
67005,Shoprite Liq (A)Northvle,Leinenkugel,6/30/2026,,25.00,25.00,0.0%,,$780.00,$780.00,0.0%,,$198.90,$198.90,0.0%
67005,Shoprite Liq (A)Northvle,Peroni,5/20/2025,14.01,,-14.01,-100.0%,$477.50,,($477.50),-100.0%,$125.32,,($125.32),-100.0%
67005,Shoprite Liq (A)Northvle,Voodoo Family,4/29/2025,10.00,,-10.00,-100.0%,$324.00,,($324.00),-100.0%,$62.40,,($62.40),-100.0%
67005,Shoprite Liq (A)Northvle,Dg Yuengling Inc,2/13/2026,,10.00,10.00,0.0%,,$255.50,$255.50,0.0%,,$71.67,$71.67,0.0%
67005,Shoprite Liq (A)Northvle,Mike's Hard Lemonade,6/12/2025,4.67,,-4.67,-100.0%,$162.50,,($162.50),-100.0%,$50.29,,($50.29),-100.0%
67005,Shoprite Liq (A)Northvle,Heineken USA,3/18/2025,-1.00,,1.00,-100.0%,($31.00),,$31.00,-100.0%,($7.85),,$7.85,-100.0%
67005,Shoprite Liq (A)Northvle,Miller Genuine Draft,5/28/2025,12.50,,-12.50,-100.0%,$260.00,,($260.00),-100.0%,$63.06,,($63.06),-100.0%
67005,Shoprite Liq (A)Northvle,Weihenstephaner,6/30/2026,,2.80,2.80,0.0%,,$141.00,$141.00,0.0%,,$39.89,$39.89,0.0%
67005,Shoprite Liq (A)Northvle,Yuengling Black & Tan,4/16/2025,2.00,,-2.00,-100.0%,$54.00,,($54.00),-100.0%,$15.67,,($15.67),-100.0%
67005,Shoprite Liq (A)Northvle,Pacifico,2/6/2026,,15.00,15.00,0.0%,,$466.25,$466.25,0.0%,,$125.83,$125.83,0.0%
67005,Shoprite Liq (A)Northvle,Modelo Especial,5/6/2025,20.00,,-20.00,-100.0%,$625.00,,($625.00),-100.0%,$177.40,,($177.40),-100.0%
67005,Shoprite Liq (A)Northvle,Southern Tier,2/21/2025,6.25,,-6.25,-100.0%,$155.50,,($155.50),-100.0%,$43.81,,($43.81),-100.0%
67005,Shoprite Liq (A)Northvle,Heineken 0.0,1/9/2026,,14.01,14.01,0.0%,,$449.25,$449.25,0.0%,,$98.90,$98.90,0.0%
67005,Shoprite Liq (A)Northvle,Miller High Life,3/11/2025,-7.50,,7.50,-100.0%,($132.00),,$132.00,-100.0%,($32.16),,$32.16,-100.0%
67005,Shoprite Liq (A)Northvle,Pacifico,3/14/2025,10.00,,-10.00,-100.0%,$295.00,,($295.00),-100.0%,$81.00,,($81.00),-100.0%
67005,Shoprite Liq (A)Northvle,Paulaner,3/28/2025,14.94,,-14.94,-100.0%,$516.50,,($516.50),-100.0%,$158.22,,($158.22),-100.0%
67005,Shoprite Liq (A)Northvle,Blue Moon,2/3/2026,,20.00,20.00,0.0%,,$650.00,$650.00,0.0%,,$181.24,$181.24,0.0%
67005,Shoprite Liq (A)Northvle,Fat Tire Family,2/4/2025,2.00,,-2.00,-100.0%,$72.00,,($72.00),-100.0%,$18.00,,($18.00),-100.0%
67005,Shoprite Liq (A)Northvle,Mike's Harder,5/5/2026,,4.90,4.90,0.0%,,$145.00,$145.00,0.0%,,$41.68,$41.68,0.0%
67005,Shoprite Liq (A)Northvle,Lagunitas,6/12/2026,,5.00,5.00,0.0%,,$165.00,$165.00,0.0%,,$54.55,$54.55,0.0%
67005,Shoprite Liq (A)Northvle,Miller High Life,2/4/2025,2.92,,-2.92,-100.0%,$61.00,,($61.00),-100.0%,$14.26,,($14.26),-100.0%
