Sales Rep Assigned,On-Off Premise,Customer Num,Customer Name,Shipping Address,City,Distribution Area,Buyer Count   6/1/2026 - 8/31/2026
Allison Scott,On Premise,12001,T Bowl Tavern (Z),300 Preakness Shop Ctr,Wayne,Passaic,1.00
Allison Scott,On Premise,12041,Cheesecake Fact (A)Wayne,1700 Willowbrook Mall,Wayne,Passaic,1.00
Allison Scott,On Premise,5003,Applebee's (A)Butler,1200 NJ-23,Butler,Morris 3,1.00
Allison Scott,On Premise,23001,Bogey's Sport Bar,103 Valley Road,Clifton,Passaic,1.00
Allison Scott,On Premise,12032,Casa Don Manuel,1292 Alps Rd,Wayne,Passaic,1.00
Allison Scott,On Premise,24031,Tommy's Tavern & Tap (Clifton),826 Route 3 Clifton Nj,Clifton,Passaic,1.00
Allison Scott,On Premise,25009,Spuntino Wine Bar/Italian,70 Kingsland Rd,Clifton,Passaic,1.00
Allison Scott,On Premise,25027,Sportzone B&G (P),593 Van Houten Ave,Clifton,Passaic,1.00
Allison Scott,On Premise,24006,The Grand Saloon,940 Van Houten Ave,Clifton,Passaic,1.00
Allison Scott,On Premise,15004,Blackjack Mulligan's Public House,1145 Mcbride Ave,Woodland Park,Passaic,1.00
Allison Scott,On Premise,25056,Emerald Corner (Z),12 Oak St,Clifton,Passaic,1.00
Allison Scott,On Premise,13016,THE TIES,4 Woodhull Ave,Little Falls,Sales,1.00
Allison Scott,On Premise,25004,Matthews Italian Rest,1131 Bloomfield Avenue,Clifton,Passaic,1.00
Allison Scott,On Premise,17006,The Yard,289 Belmont Ave,Haledon,Passaic,1.00
Allison Scott,On Premise,19005,Celtic Corner,312 Lafayette Ave,Hawthorne,Passaic,1.00
Allison Scott,On Premise,1005,Grasshopper Irish Pub (A),2891 Route 23,Newfoundland,Passaic,1.00
Allison Scott,On Premise,11007,Meadows Golf Club(P),79 2 Bridges Rd,Lincoln Park,Morris 3,1.00
Allison Scott,On Premise,15067,Naxos Estiatorio,1738 Rt 46 W,Woodland Park,Passaic,1.00
Allison Scott,On Premise,20010,Riverside Grill(D'carbon),855 River Street,Paterson,Passaic,1.00
Allison Scott,On Premise,10010,Sunset Valley G C (A),47 W Sunset Road,Pompton Plains,Morris 3,1.00
Allison Scott,On Premise,14005,The Grand,38 Lackwanna Av,Totowa,Passaic,1.00
Allison Scott,On Premise,14004,Sushi Lounge,235 Us-46,Totowa,Passaic,1.00
Allison Scott,On Premise,14002,Applebee's (Totowa) (A),465 Rt 46 West,Totowa,Passaic,1.00
Allison Scott,On Premise,14006,46 Lounge (P),300 Us-46,Totowa,Passaic,1.00
Allison Scott,On Premise,15074,Bask 46,1530 Rt 46 West,Woodland Park,Passaic,1.00
Allison Scott,On Premise,12037,Maggies Town Tavern Ii,1082 Hamburg Turnpike,Wayne,Passaic,1.00
Allison Scott,On Premise,7003,Blu Ale House,92 NJ-23,Riverdale,Morris 3,1.00
Allison Scott,On Premise,5008,Celtic Crossings,1248 NJ-23,Butler,Morris 3,1.00
Allison Scott,On Premise,24022,Applebee's Clifton,375 Rte 3 E,Clifton,Passaic,1.00
Allison Scott,On Premise,19012,Bottagra Rest (P),80 Wagaraw Road,Hawthorne,Passaic,1.00
Allison Scott,On Premise,14003,Murph's Bar & Liquor,375 Union Blvd,Totowa,Passaic,1.00
Allison Scott,On Premise,15006,Great Notch Inn(Z),400 Us 46 West,Little Falls,Passaic,1.00
Allison Scott,On Premise,19011,Las Maravillas Restaurant,410 Wagaraw Road,Hawthorne,Passaic,1.00
Allison Scott,On Premise,24026,Rock Bar,414 Main Ave,Clifton,Passaic,1.00
Allison Scott,On Premise,24060,Clifton Billiards (Z),1158 Main Ave,Clifton,Passaic,1.00
Allison Scott,On Premise,12051,Packanack Golf (P),7 Osborne Terrace,Wayne,Passaic,1.00
Allison Scott,On Premise,7005,Chili's (Riverdale),58 NJ-23,Riverdale,Morris 3,1.00
Allison Scott,On Premise,15036,River Terrace Inn(P),36 Totowa Ave,Paterson,Passaic,1.00
Allison Scott,On Premise,19004,Shortways' Barn (A),991 Goffle Road,Hawthorne,Passaic,1.00
Allison Scott,On Premise,12022,Grasshopper Too (A),26 Erie Ave,Wayne,Passaic,1.00
Allison Scott,On Premise,24029,Dingo's Den (P),615 Van Houten Ave,Clifton,Passaic,1.00
Allison Scott,On Premise,12064,In The Drink@Passaic Gc,209 Totowa Rd,Wayne,Passaic,1.00
Allison Scott,On Premise,12056,PF Changs China Bistro (Wayne),1900 Willowbrook Blvd,Wayne,Passaic,1.00
Allison Scott,On Premise,24039,Veterans Post (9),147 Huron Ave,Clifton,Passaic,1.00
Allison Scott,On Premise,19021,The Front Porch (Z),217 Wagaraw Road,Hawthorne,Passaic,1.00
Allison Scott,On Premise,12010,Fogo de Chao (Wayne),1400 Willowbrook Mall,Wayne,Sales,1.00
Allison Scott,On Premise,3007,Kitchen & Beer Bar,1093 Ringwood Ave,Haskell,Passaic-FF,1.00
Allison Scott,On Premise,9005,The Legacy Castle,141 NJ-23,Pompton Plains,Morris 3,1.00
Allison Scott,On Premise,13002,The Little Falls Tavern,131 Newark Pompton Turnpike,Little Falls,Passaic,1.00
Allison Scott,On Premise,13018,Chili's Little Falls,1165 Rte 46 East,Little Falls,Passaic,1.00
Allison Scott,On Premise,10001,cherry's,23 NJ-23,Pequannock,Morris 3,1.00
Allison Scott,On Premise,5004,Outback,1538 NJ-23,Butler,Morris 3,1.00
Allison Scott,On Premise,12035,Preakness Hills (A) cc,1050 Ratzer Road,Wayne,Passaic,1.00
Allison Scott,On Premise,13015,Rare The Steakhouse (Z),440 Main Street,Little Falls,Passaic,1.00
Allison Scott,On Premise,12065,"Buffalo Wild Wings - Wayne, NJ",1400 Willowbrook Mall,Wayne,Passaic,1.00
Allison Scott,On Premise,13013,Amer Lgn L Falls (Z),55 Van Ness Ave,Little Falls,Passaic,1.00
Allison Scott,On Premise,12031,Double Ai Asian Bistro,107 Terhune Dr,Wayne,Sales,1.00
Allison Scott,On Premise,25083,Rutt's Hut (A),417 River Rd,Clifton,Passaic,1.00
Allison Scott,On Premise,24054,Upper Montclair Cc (A),177 Hepburn Rd,Clifton,Passaic,1.00
Allison Scott,On Premise,17001,Underdog Lounge(P),4 Church Street,Haledon,Passaic,1.00
Allison Scott,On Premise,12040,NYX,24 Galesi Drive,Wayne,Passaic,1.00
Allison Scott,On Premise,12008,North Jersey C C,594 Hamburg Turnpike,Wayne,Passaic,1.00
Allison Scott,On Premise,24056,Jaime's (A),915 Bloomfield Ave,Clifton,Passaic,1.00
Allison Scott,On Premise,8004,The Side Door (P),33 Colfax Ave,Pompton Lakes,Passaic,1.00
Allison Scott,On Premise,15070,Brownstone House,351 W Broadway,Paterson,Passaic,1.00
Allison Scott,On Premise,24027,Mario's Rest,710 Van Houten Ave,Clifton,Passaic,1.00
Allison Scott,On Premise,25036,Dingbatz (P),620 Van Houten Ave,Clifton,Passaic,1.00
Allison Scott,On Premise,25049,Yesterdays (P),70 Main Ave,Clifton,Passaic,1.00
Allison Scott,On Premise,17003,D'CARBON BAR AND GRILL haledon,529 Belmont Ave,Haledon,Passaic,1.00
Allison Scott,On Premise,25011,Kashan Indian Kitchen & Ber,50 Market St,Clifton,Passaic,1.00
Allison Scott,On Premise,24061,Breaker Billiards,1142 US-46,Clifton,Passaic,1.00
Allison Scott,On Premise,3002,The Celtic Knot,72 Haskell Ave,Haskell,Passaic-FF,1.00
Allison Scott,On Premise,24025,The Clif (P),605 Clifton Ave,Clifton,Passaic,1.00
Allison Scott,On Premise,9002,Tavern 5_2,710 Newark Pompton Turnpi,Pompton Plains,Morris 3,1.00
Allison Scott,On Premise,12034,"Dave & Buster's Nj, Inc",310 Willowbrook Mall,Wayne,Passaic,1.00
Allison Scott,On Premise,12048,Anthonys CF Pizza (Wayne),1600 NJ-23,Wayne,Passaic,1.00
