Product,Inventory,Purchases,Invoices,Pending Invoices,Loaded,Picked,Delivered,Unsellable,In Production,On-Floor,Pre-Sales,Allocated,Available
5654 Barn Brew Farmers Lager 5.2 Gal Keg,12,0,0,0,1,0,0,0,0,11,0,0,11
5656 Barn Brew Haze For Horses IPA 6/4/16 oz Can,15,0,0,0,0,0,0, (1),0,16,0,0,16
5657 Barn Brew Haze For Horses IPA 5.2 Gal Keg,0,0,0,0,0,0,0,0,0,0,0,0,0
5658 Barn Brew Oktoberfest Lager 6/4/16 oz Can,0,0,0,0,0,0,0,0,0,0,0,0,0
5659 Barn Brew Pa's Pilsner 6/4/16 oz Can,2,0,0,0,0,0,0,2,0,0,0,0,0
5661 Barn Brew Pa's Pilsner 5.2 Gal Keg,0,0,0,0,0,0,0,0,0,0,0,0,0
9436 Farmers Secret THC Blueberry Seltzer 3 MG 4/6/12 oz Can,10,0,0,0,0,0,0,2,0,8,0,0,8
94023 Farmers Secret THC Blueberry Seltzer 10 MG D9 6/4/12 oz Can,27,0,0,0,0,0,0,0,0,27,0,0,27
94024 Farmers Secret THC Half & Half 10 MG D9 6/4/12 oz Can,36,0,0,0,0,0,0,13,0,23,0,0,23
94025 Farmers Secret THC Blood Orange Seltzer 10 MG D9 6/4/12 oz Can,22,0,0,0,0,0,0, (12),0,34,0,0,34
94026 Farmers Secret THC Strawberry Lemonade Seltzer 10 MG D9 6/4/12 oz Can,20,0,0,0,0,0,0,9,0,11,0,0,11
94027 Farmers Secret THC It's Our Little Seltzer Variety 10 MG D9 3/8/12 oz Can,0,0,0,0,0,0,0, (52),0,52,0,0,52
Total,149,0,0,0,1,0,0, (37),0,185,0,0,185
Beak & Skiff,,,,,,,,,,,,,
9127 1911 Black Cherry 6/4/16 oz Can,219,0,0,0,1,0,0,11,0,207,0,0,207
9130 1911 Blueberry 6/4/16 oz Can,0,0,0,0,0,0,0,0,0,0,0,0,0
9125 1911 Cider Donut 6/4/16 oz Can,0,0,0,0,0,0,0,0,0,0,0,0,0
9126 1911 Cranberry 6/4/16 oz Can,0,0,0,0,0,0,0,0,0,0,0,0,0
9118 1911 Honey Crisp 6/4/16 oz Can,226,0,0,0,4,0,0,17,0,205,0,0,205
9101 1911 Cider Donut 5.2 Gal Keg,0,0,0,0,0,0,0,0,0,0,0,0,0
9102 1911 Original Cider 5.2 Gal Keg,0,0,0,0,0,0,0,0,0,0,0,0,0
9131 1911 Original Cider 15.5 Gal Keg,0,0,0,0,0,0,0,0,0,0,0,0,0
9129 1911 Maple Bourbon 6/4/16 oz Can,0,0,0,0,0,0,0,0,0,0,0,0,0
9120 1911 Original 6/4/16 oz Can,275,0,0,0,3,0,0,1,0,271,2,0,269
9121 1911 Raspberry 6/4/16 oz Can,60,0,0,0,0,0,0,10,0,50,0,0,50
9122 1911 Rose 6/4/16 oz Can,122,0,0,0,5,0,0, (9),0,126,0,0,126
9124 1911 Tropical Pineapple Mango 6/4/16 oz Can,167,0,0,0,1,0,0,1,0,165,0,0,165
200280 1911 Van Chai Vodka 1/750 mL,0,0,0,0,0,0,0,0,0,0,0,0,0
9128 1911 Watermelon Mint 6/4/16 oz Can,0,0,0,0,0,0,0,0,0,0,0,0,0
9133 1911 Master Series Sour Hopped 6/4/16 oz Can,0,0,0,0,0,0,0,0,0,0,0,0,0
9134 1911 Unfiltered McIntosh 6/4/16 oz Can,0,0,0,0,0,0,0,0,0,0,0,0,0
9135 1911 Pink Grapefruit 6/4/16 oz Can,70,0,0,0,0,0,0,0,0,70,0,0,70
9136 1911 Jam Berry 6/4/16 oz Can,0,0,0,0,0,0,0,0,0,0,0,0,0
9137 1911 Sangria 6/4/16 oz Can,0,0,0,0,0,0,0,0,0,0,0,0,0
9138 1911 Strawberry 6/4/16 oz Can, (1),0,0,0,3,0,0, (4),0,0,1,0, (1)
9139 1911 Freedom 6/4/16 oz Can,0,0,0,0,0,0,0,0,0,0,0,0,0
9140 1911 Hopped Cider 6/4/16 oz Can,0,0,0,0,0,0,0,0,0,0,0,0,0
9141 1911 Orange Creamsicle 6/4/16 oz Can,72,0,0,0,1,0,0,8,0,63,0,0,63
9142 1911 Candy Corn 6/4/16 oz Can,0,0,0,0,0,0,0,0,0,0,0,0,0
9143 1911 Est Lafayette Lemonade 6/4/12 oz Can,0,0,0,0,0,0,0,0,0,0,0,0,0
9144 1911 Cider Cotton Candy 6/4/16 oz Can,0,0,0,0,0,0,0,0,0,0,0,0,0
9145 1911 Variety 3/8/12 oz Can,118,0,0,0,4,0,0,1,0,113,0,0,113
9146 1911 Black Cherry 1/12/19.2oz Can, (4),0,0,0,0,0,0, (4),0,0,0,0,0
9147 1911 Orange Creamside 1/12/19.2 Can,0,0,0,0,0,0,0,0,0,0,0,0,0
9148 1911 Sugar Plum 6/4/16 oz Can,0,0,0,0,0,0,0,0,0,0,0,0,0
9149 1911 Cherry Pie 6/4/16 oz Can,0,0,0,0,0,0,0,0,0,0,0,0,0
9159 1911 Honey Pear 6/4/16 oz Can, (1),0,0,0,1,0,0, (2),0,0,2,0, (2)
9160 1911 Half & Half 6/4/16 oz Can,139,0,0,0,1,0,0,2,0,136,0,0,136
