Sales Rep Assigned / Supplier / Brand Family,Qualifier Brands,Case Equiv   6/1/2025 - 8/31/2025,Case Equiv   6/1/2026 - 8/31/2026,( Case Equiv   6/1/2026 - 8/31/2026) Goals,( Case Equiv   6/1/2026 - 8/31/2026) % of Goals,Case Equiv Unit Difference
Yuengling Light Lager,,22,9,,0%,-13
DG Yuengling Inc,Qualifier: Yuengling Lager,1783,308,1747,17.6%,-1475
Yuengling Lager,,1783,308,,0%,-1475
Heineken USA,Amplify: Heineken Light / Heineken 0.0,1332,175,,0%,-1157
Heineken 0.0,,560,71,,0%,-489
Heineken Light,,772,104,,0%,-668
Heineken USA,Qualifier: Heineken USA,9290,1401,8733,16.0%,-7889
Heineken USA,,9290,1401,,0%,-7889
Mark Anthony,Amplify: Cayman Jack / Mike's Harder / MXD,1229,162,,0%,-1067
Cayman Jack,,1005,141,,0%,-864
Mike's Harder,,224,16,,0%,-209
Mxd Cocktails,,,5,,0%,5
Mark Anthony,Qualifier: White Claw,4785,424,4306,9.8%,-4361
White Claw,,4785,424,,0%,-4361
MolsonCoors Beverage Company,Amplify: Coors / Peroni,2341,338,,0%,-2003
Coors,,1308,193,,0%,-1115
Peroni,,1033,144,,0%,-889
MolsonCoors Beverage Company,Qualifier: Coors Light/Miller Lite/Blue Moon,18935,2212,18589,11.9%,-16723
Blue Moon,,1525,203,,0%,-1322
Coors Light,,12733,1357,,0%,-11375
Lite,,4677,652,,0%,-4025
New Belgium Brewing Company,Amplify: Voodoo Family / Bell's / Kirin / Fat Tire Family,828,153,,0%,-674
Fat Tire Family,,54,9,,0%,-45
Kirin Ichiban,,10,10,,0%,0
Voodoo Family,,764,134,,0%,-629
Sapporo,Amplify: Sapporo,762,135,,0%,-627
Sapporo,,762,135,,0%,-627
Chris Politano,,20294,352,,0%,-19942
Boston Beer Company,Qualifier: Truly / Twisted Tea,1228,,1120,0%,-1228
Truly,,488,,,0%,-488
Twisted Tea,,740,,,0%,-740
Cape May,Amplify: Cape May,34,,,0%,-34
Cape May,,34,,,0%,-34
Constellation Brands,Amplify: Chelada / Victoria / Pacifico,83,,,0%,-83
Pacifico,,83,,,0%,-83
Constellation Brands,Qualifier: Modelo/Corona,7221,234,7189,3.3%,-6987
Corona Extra,,3485,96,,0%,-3388
Modelo Especial,,3736,138,,0%,-3598
DG Yuengling Inc,Qualifier: Yuengling Lager,7,,,0%,-7
Yuengling Lager,,7,,,0%,-7
Heineken USA,Amplify: Heineken Light / Heineken 0.0,2,,,0%,-2
Heineken 0.0,,2,,,0%,-2
Heineken USA,Qualifier: Heineken USA,2383,117,,0%,-2266
Heineken USA,,2383,117,,0%,-2266
Mark Anthony,Qualifier: White Claw,3547,,3192,0%,-3547
White Claw,,3547,,,0%,-3547
MolsonCoors Beverage Company,Amplify: Coors / Peroni,0,,,0%,0
Peroni,,0,,,0%,0
MolsonCoors Beverage Company,Qualifier: Coors Light/Miller Lite/Blue Moon,5707,,5587,0%,-5707
Blue Moon,,1232,,,0%,-1232
Coors Light,,2304,,,0%,-2304
Lite,,2171,,,0%,-2171
New Belgium Brewing Company,Amplify: Voodoo Family / Bell's / Kirin / Fat Tire Family,83,,,0%,-83
Fat Tire Family,,28,,,0%,-28
Voodoo Family,,55,,,0%,-55
Dan Lagala,,89907,11386,,0%,-78521
Bell's,Amplify: Voodoo Family / Bell's / Kirin / Fat Tire Family,1,1,,0%,0
Bell's,,1,1,,0%,0
Boston Beer Company,Amplify: Dogfish Head,308,68,,0%,-240
Dogfish Head Beer,,308,68,,0%,-240
Boston Beer Company,Qualifier: Truly / Twisted Tea,886,111,825,13.5%,-775
Truly,,261,34,,0%,-227
