Supplier,Brand Family,Segment,Sub-Segments,Package,Cases   1/1/2025 - 7/31/2025,Cases   1/1/2026 - 7/31/2026,Cases Unit Difference,Cases Percentage Difference,$Vol   1/1/2025 - 7/31/2025,$Vol   1/1/2026 - 7/31/2026,$Vol Unit Difference,$Vol Percentage Difference
Boston Beer Company,Twisted Tea,FMB,FMB,1/24/16.00 oz,,81.00,81.00,0.0%,,"$3,198.50","$3,198.50",0.0%
Boston Beer Company,Angry Orchard,Cider,Cider,1/12/19.2 oz Can,,786.00,786.00,0.0%,,"$20,164.50","$20,164.50",0.0%
Boston Beer Company,Samuel Adams,Beer,Beer - Craft,28/12oz NR,3.00,,-3.00,-100.0%,$113.40,,($113.40),-100.0%
Boston Beer Company,Dogfish Head Spirits,Spirits,Spirits - Whiskey,1/6/750 mL (BO),,0.33,0.33,0.0%,,$100.00,$100.00,0.0%
Boston Beer Company,Twisted Tea,FMB,FMB,2/12/12oz NR,1900.00,1477.00,-423.00,-22.3%,"$55,222.50","$41,673.50","($13,549.00)",-24.5%
Boston Beer Company,Sun Cruiser,RTD,RTD,3/8/12oz Can,17103.00,24464.00,7361.00,43.0%,"$751,911.00","$1,033,682.00","$281,771.00",37.5%
Boston Beer Company,Truly,Seltzer,Seltzer,4/6/12oz Can,118.00,88.00,-30.00,-25.4%,"$3,943.05","$2,979.00",($964.05),-24.4%
Boston Beer Company,Angry Orchard,Cider,Cider,1/12/24oz Can,1267.00,325.00,-942.00,-74.3%,"$34,252.50","$8,350.50","($25,902.00)",-75.6%
Boston Beer Company,Truly,Seltzer,Seltzer,1/12/24oz Can,1924.00,1559.00,-365.00,-19.0%,"$52,815.00","$45,250.00","($7,565.00)",-14.3%
Boston Beer Company,Dogfish Head Beer,Beer,Beer - Craft,5.2 Gal Keg,79.00,153.00,74.00,93.7%,"$9,294.00","$17,976.00","$8,682.00",93.4%
Boston Beer Company,Twisted Tea,FMB,FMB,1/24/12oz Can,2206.00,1809.00,-397.00,-18.0%,"$59,562.00","$48,846.00","($10,716.00)",-18.0%
Boston Beer Company,Dogfish Head Spirits,Spirits,Spirits - Vodka,1/12/750 mL (BO),5.00,4.00,-1.00,-20.0%,$599.50,$476.65,($122.85),-20.5%
Boston Beer Company,Truly,Seltzer,Seltzer,15.5 Gal Keg,55.00,69.00,14.00,25.5%,"$11,098.00","$10,625.00",($473.00),-4.3%
Boston Beer Company,Samuel Adams,Beer,Beer - Craft,5.2 Gal Keg,167.00,88.00,-79.00,-47.3%,"$18,051.37","$9,340.00","($8,711.37)",-48.3%
Boston Beer Company,Twisted Tea,FMB,FMB,1/12/24oz Can,17682.00,17285.00,-397.00,-2.2%,"$504,343.50","$501,517.50","($2,826.00)",-0.6%
Boston Beer Company,Truly,Seltzer,Seltzer,30/12oz Can,614.00,795.00,181.00,29.5%,"$19,954.00","$23,527.50","$3,573.50",17.9%
Boston Beer Company,Hard Mountain Dew,FMB,FMB,1/12/24oz Can,1052.00,771.00,-281.00,-26.7%,"$29,547.50","$21,666.50","($7,881.00)",-26.7%
Boston Beer Company,Samuel Adams,Beer,Beer - Craft,12/24oz NR,-15.00,,15.00,-100.0%,"($2,985.00)",,"$2,985.00",-100.0%
Boston Beer Company,Sinless Vodka Cocktail,RTD,RTD,6/4/12oz Can,,352.00,352.00,0.0%,,"$16,571.00","$16,571.00",0.0%
Boston Beer Company,Twisted Tea,FMB,FMB,15.5 Gal Keg,48.00,44.00,-4.00,-8.3%,"$9,896.00","$9,108.00",($788.00),-8.0%
Boston Beer Company,Samuel Adams,Beer,Beer - Craft,1/750 ML,,0.50,0.50,0.0%,,$597.00,$597.00,0.0%
Boston Beer Company,Angry Orchard,Cider,Cider,15.5 Gal Keg,255.00,256.00,1.00,0.4%,"$47,746.00","$47,912.00",$166.00,0.3%
Boston Beer Company,Samuel Adams,Beer,Beer - Craft,4/6/12oz NR,16141.00,14992.00,-1149.00,-7.1%,"$532,650.91","$527,379.20","($5,271.71)",-1.0%
Boston Beer Company,Samuel Adams,Beer,Beer - Craft,2/12/12oz Can,10971.00,10746.00,-225.00,-2.1%,"$330,930.96","$352,978.19","$22,047.23",6.7%
Boston Beer Company,Dogfish Head Spirits,Spirits,Spirits - Gin,1/12/750ml Btl,,0.00,0.00,0.0%,,$0.00,$0.00,0.0%
