Brand Family,Supplier,Package,City,County,Sales Rep Assigned,Case Equiv 1/1/2025 - 7/31/2025,Case Equiv 1/1/2026 - 7/31/2026,Case Equiv ±,Case Equiv % ±
Modelo Especial,Constellation Brands,4/6/12oz NR,Fairview,Bergen,Dan Lagala,"1,432.00","1,468.00",36.00,2.51%
Corona Extra,Constellation Brands,24/7oz NR,River Edge,Bergen,Dave Ehlers,"1,425.08","1,461.25",36.17,2.54%
Blue Moon,MolsonCoors Beverage Company,1/24/12oz Can,Wayne,Passaic,John Neukum,600.00,"1,450.00",850.00,141.67%
Corona Extra,Constellation Brands,2/12/12oz NR,Clifton,Passaic,Chris Payton,"1,618.00","1,444.00", (174.00),(10.75%)
Modelo Especial,Constellation Brands,18/12oz Can,Englewood,Bergen,Dave Ehlers,"1,201.50","1,442.25",240.75,20.04%
Corona Extra,Constellation Brands,24/7oz NR,Clifton,Passaic,Javier Melo,"1,489.83","1,440.83", (49.00),(3.29%)
Modelo Especial,Constellation Brands,24/12oz NR,Ramsey,Bergen,Shane Barreca,"1,253.00","1,435.00",182.00,14.53%
Modelo Especial,Constellation Brands,15.5 Gal Keg,Lyndhurst,Bergen,Paul Mclaughlin,"1,019.56","1,432.89",413.33,40.54%
Corona Extra,Constellation Brands,24/12oz NR,Saddle Brook,Bergen,Chris Payton,"1,645.00","1,431.00", (214.00),(13.01%)
Corona Extra,Constellation Brands,2/12/12oz NR,Haledon,Passaic,Mike Ast,"1,748.00","1,430.00", (318.00),(18.19%)
Lite,MolsonCoors Beverage Company,15.5 Gal Keg,Rockaway,Morris,Brian Sengebush,"1,646.44","1,426.00", (220.44),(13.39%)
Corona Extra,Constellation Brands,4/6/12oz NR,Fort Lee,Bergen,Dan Lagala,"1,665.00","1,426.00", (239.00),(14.35%)
Coors Light,MolsonCoors Beverage Company,1/12/24oz Can,Palisades Park,Bergen,Dan Lagala,"1,298.00","1,426.00",128.00,9.86%
Lite,MolsonCoors Beverage Company,30/12oz Can,Oak Ridge,Morris,Klejdi Lamo,"1,387.50","1,416.25",28.75,2.07%
Coors Light,MolsonCoors Beverage Company,36/12oz Can,Clifton,Passaic,Jim Heaney,"1,378.50","1,408.50",30.00,2.18%
Corona Extra,Constellation Brands,4/6/12oz NR,East Rutherford,Bergen,Nick Melissari,"1,346.00","1,403.00",57.00,4.23%
Coors Light,MolsonCoors Beverage Company,4/6/7oz NR,East Rutherford,Bergen,John Neukum,"1,400.00","1,400.00",0.00,0.00%
Coors Light,MolsonCoors Beverage Company,36/12oz Can,Paterson,Passaic,Pablo Lopez,"1,351.50","1,399.50",48.00,3.55%
White Claw,Mark Anthony,2/12/12oz Can,Hewitt,Passaic,Anthony Palmisano,"1,504.00","1,396.00", (108.00),(7.18%)
Coors,MolsonCoors Beverage Company,1/12/24oz Can,Passaic,Passaic,Pablo Lopez,945.00,"1,392.00",447.00,47.30%
Modelo Especial,Constellation Brands,2/12/12oz Can,Englewood,Bergen,Dave Ehlers,"1,027.00","1,387.00",360.00,35.05%
Yuengling Lager,DG Yuengling Inc,24/12oz NR,East Rutherford,Bergen,John Neukum,"1,323.00","1,386.00",63.00,4.76%
Heineken USA,Heineken USA,24/12oz NR,River Edge,Bergen,Dave Ehlers,"1,442.00","1,385.00", (57.00),(3.95%)
Sapporo,Sapporo,12/22oz Can,Jersey City,Hudson,Dylan Rubino,"1,158.67","1,380.50",221.83,19.15%
Modelo Especial,Constellation Brands,2/12/12oz Can,Clifton,Passaic,Chris Payton,"1,406.00","1,377.00", (29.00),(2.06%)
Corona Extra,Constellation Brands,24/12oz NR,Dumont,Bergen,Shane Barreca,"1,693.00","1,375.00", (318.00),(18.78%)
Victoria,Constellation Brands,12/32oz NR,Passaic,Passaic,Pablo Lopez,"1,380.00","1,373.33", (6.67),(0.48%)
Blue Moon,MolsonCoors Beverage Company,15.5 Gal Keg,Paramus,Bergen,Nick Melissari,"1,419.11","1,370.89", (48.22),(3.40%)
Coors Light,MolsonCoors Beverage Company,30/12oz Can,Stanhope,Sussex,Klejdi Lamo,"1,213.75","1,366.25",152.50,12.56%
Modelo Especial,Constellation Brands,24/12oz NR,Clifton,Passaic,Derrick Laws,"1,515.00","1,365.00", (150.00),(9.90%)
Cayman Jack,Mark Anthony,1/24/12oz Can,East Rutherford,Bergen,John Neukum,"1,365.00","1,365.00",0.00,0.00%
White Claw,Mark Anthony,2/12/12oz Can,Hackensack,Bergen,Dave Ehlers,"1,026.00","1,364.00",338.00,32.94%
Heineken USA,Heineken USA,4/6/12oz NR,Fairview,Bergen,Dan Lagala,"1,200.00","1,360.00",160.00,13.33%
Coors Light,MolsonCoors Beverage Company,24/12oz NR,Clifton,Passaic,John Neukum,"1,435.00","1,359.00", (76.00),(5.30%)
Modelo Especial,Constellation Brands,2/12/12oz NR,Cliffside Park,Bergen,Dan Lagala,"1,404.00","1,353.00", (51.00),(3.63%)
Heineken USA,Heineken USA,4/6/12oz NR,Passaic,Passaic,Pablo Lopez,"1,729.00","1,352.00", (377.00),(21.80%)
Yuengling Lager,DG Yuengling Inc,24/12oz NR,Teterboro,Bergen,John Neukum,"1,245.00","1,346.00",101.00,8.11%
Modelo Especial,Constellation Brands,2/12/12oz NR,Elmwood Park,Bergen,Matt Powierski,"1,623.00","1,345.00", (278.00),(17.13%)
Heineken Light,Heineken USA,24/12oz NR,East Rutherford,Bergen,John Neukum,"1,176.00","1,344.00",168.00,14.29%
Corona Extra,Constellation Brands,2/12/12oz NR,Newton,Sussex,Jayson Romine,"1,598.00","1,342.00", (256.00),(16.02%)
Coors Light,MolsonCoors Beverage Company,30/12oz Can,Little Falls,Passaic,Derrick Laws,"1,533.75","1,336.25", (197.50),(12.88%)
Modelo Especial,Constellation Brands,1/24/12oz Can,River Edge,Bergen,Dave Ehlers,"1,286.00","1,331.00",45.00,3.50%
Corona Extra,Constellation Brands,24/12oz NR,Wharton,Morris,Klejdi Lamo,"1,504.00","1,331.00", (173.00),(11.50%)
Modelo Especial,Constellation Brands,2/12/12oz Can,Boonton,Morris,Klejdi Lamo,"1,211.00","1,330.00",119.00,9.83%
Twisted Tea,Boston Beer Company,2/12/12oz Can,Newton,Sussex,Jayson Romine,"1,239.00","1,328.00",89.00,7.18%
Modelo Especial,Constellation Brands,2/12/12oz NR,Englewood,Bergen,Dave Ehlers,"1,424.00","1,324.00", (100.00),(7.02%)
Corona Extra,Constellation Brands,2/12/12oz NR,Boonton,Morris,Klejdi Lamo,"1,099.00","1,316.00",217.00,19.75%
Modelo Especial,Constellation Brands,2/12/12oz NR,Clifton,Passaic,Chris Payton,"1,497.00","1,314.00", (183.00),(12.22%)
Modelo Especial,Constellation Brands,2/12/12oz Can,Garfield,Bergen,Matt Powierski,"1,106.00","1,312.00",206.00,18.63%
Modelo Especial,Constellation Brands,1/12/24oz Can,Clifton,Passaic,Jim Heaney,"1,124.00","1,312.00",188.00,16.73%
White Claw,Mark Anthony,4/6/12oz Can,Clifton,Passaic,Jim Heaney,"1,231.00","1,309.00",78.00,6.34%
Pacifico,Constellation Brands,1/24/12oz Can,East Rutherford,Bergen,John Neukum,729.00,"1,309.00",580.00,79.56%
Modelo Especial,Constellation Brands,2/12/12oz Can,Mahwah,Bergen,Mike Ast,"1,103.00","1,308.00",205.00,18.59%
Corona Extra,Constellation Brands,24/12oz NR,Cliffside Park,Bergen,Dan Lagala,"1,001.00","1,303.00",302.00,30.17%
Heineken USA,Heineken USA,4/6/12oz NR,Clifton,Passaic,Jim Heaney,"1,530.00","1,301.00", (229.00),(14.97%)
Modelo Especial,Constellation Brands,2/12/12oz Can,Hillsdale,Bergen,Shane Barreca,"1,055.00","1,299.00",244.00,23.13%
Coors Light,MolsonCoors Beverage Company,24/16oz Btl,Paterson,Passaic,Javier Melo,"1,024.00","1,296.00",272.00,26.56%
Corona Extra,Constellation Brands,1/12/24oz Can,Paterson,Passaic,Derrick Laws,"1,166.00","1,290.00",124.00,10.63%
Coors Light,MolsonCoors Beverage Company,36/12oz Can,River Edge,Bergen,Dave Ehlers,964.50,"1,288.50",324.00,33.59%
Corona Extra,Constellation Brands,2/12/12oz Can,Clifton,Passaic,Jim Heaney,989.00,"1,287.00",298.00,30.13%
Kirin Ichiban,New Belgium Brewing Company,1/24/12oz Can,Edgewater,Bergen,Dan Lagala,471.00,"1,286.00",815.00,173.04%
Coors Light,MolsonCoors Beverage Company,30/12oz Can,North Arlington,Bergen,Jim Heaney,"1,123.75","1,281.25",157.50,14.02%
Lite,MolsonCoors Beverage Company,30/12oz Can,Stanhope,Sussex,Klejdi Lamo,"1,408.75","1,277.50", (131.25),(9.32%)
Lite,MolsonCoors Beverage Company,30/12oz Can,West Milford,Passaic,Anthony Palmisano,"1,386.25","1,272.50", (113.75),(8.21%)
