Supplier / Brand Family,Case Equiv 1/1/2025 - 7/31/2025,Case Equiv 1/1/2026 - 7/31/2026,Case Equiv ±,Case Equiv % ±
Fat Tire Family,4591.625014,4203.180572,-388.444442,-8.459800000000001
New Belgium Brewing Company,2305.55557,2245.763904,-59.791666,-2.5934
Kirin Ichiban,1837.388898,4039.27778,2201.888882,119.8379
Voodoo Hardcharged,1498,629,-869,-58.01070000000001
Lightstrike,346.449918,18.132285,-328.317633,-94.7663
Kirin Light,148,214,66,44.5946
Sierra Nevada Brewing Company,26636.283358,29035.342953,2399.059595,9.006699999999999
Sierra Nevada,26636.283358,29035.342953,2399.059595,9.006699999999999
Famosa,24242.902428,16899.603765,-7343.298663,-30.290499999999998
Famosa,24248.902428,16899.603765,-7349.298663,-30.3078
Monte Carlo,-6,0,6,100
Radeberger USA,20826.063326,20532.818388,-293.244938,-1.4081
Dab,9763.606236,9547.822444,-215.783792,-2.2100999999999997
Schofferhofer,5963.2025,5952.790122,-10.412378,-0.1746
Radeberger,3550.827178,3646.441646,95.614468,2.6927
Clausthaler,1548.427412,1385.764176,-162.663236,-10.5051
Montauk Brewing Co,17799.889074,16699.784933,-1100.104141,-6.1804
Montauk,17799.889074,16154.784933,-1645.104141,-9.2422
Popsicle Hard,0,545,545,100
FX Matt,17257.798166,14191.840025,-3065.958141,-17.7656
Flying Dog Brewing Co,8047.109726,7197.754077,-849.355649,-10.5548
Saranac,5956.236109,4858.361121,-1097.874988,-18.432399999999998
Right Coast,1421.341219,551.391493,-869.949726,-61.2063
Kingfisher Premium,920,997,77,8.3696
Friday Beers,718.111112,400.333334,-317.777778,-44.2519
Mckenzie's,195,187,-8,-4.1026
Total Beverage Solutions,16034.928454,17836.880444,1801.95199,11.2377
Carib,6118,6487,369,6.0314
Magners,4703.191644,5486.240247,783.048603,16.6493
Weihenstephaner,4604.299252,5235.549868,631.250616,13.71
Mackeson,235,264,29,12.3404
Rekorderlig,229.770888,212.958384,-16.812504,-7.3171
Banks,176,175,-1,-0.5682
Shipyard,-31.33333,-23.868055,7.465275,23.8253
Cape May,15882.963943,16634.894531,751.930588,4.7342
Cape May,15882.963943,16634.894531,751.930588,4.7342
Phusion Projects,13168.920476,10075.544698,-3093.375778,-23.49
Four Loko,11189.920476,8904.544698,-2285.375778,-20.4235
Earthquake,1049,758,-291,-27.7407
Mamita's,930,413,-517,-55.5914
Victory Brewing Company,12686.375037,11185.020851,-1501.354186,-11.8344
Monkey Family,9408.229172,8738.381949,-669.847223,-7.1198
Victory,3278.145865,2446.638902,-831.506963,-25.365199999999998
Lagunitas Brewing Co,12294.866642,12047.333323,-247.533319,-2.0133
Lagunitas,11906.866642,11806.333323,-100.533319,-0.8443
Lagunitas NA,388,241,-147,-37.8866
Athletic Brewing Company,12286,13105.777776,819.777776,6.6725
Athletic,12286,13105.777776,819.777776,6.6725
US Beverage,12058.544833,10289.020593,-1769.52424,-14.674400000000002
Dragon Stout,4650.311853,4708.610456,58.298603,1.2536
Moosehead,1594,1033,-561,-35.1945
Malibu Splash,1558,123,-1435,-92.1053
Estrella,1207.552335,1244.750256,37.197921,3.0804
Birra Moretti,1015,1313,298,29.359600000000004
Daura,984.465512,1200.22598,215.760468,21.9165
Krusovice,517.367974,0,-517.367974,-100
Innis & Gunn,394.666568,445.333222,50.666654,12.8378
Tagus,76.743079,64.663211,-12.079868,-15.740699999999999
Sagres Cerveja,50.437512,140.1042,89.666688,177.7778
Dewey Crush,10,0,-10,-100
Superior Cerveza,0,0,0,100
Sammy's Beach Bum,0,16.333268,16.333268,100
Sixpoint Brewing,11602.125095,10840.972333,-761.152762,-6.560499999999999
Sixpoint,11602.125095,10840.972333,-761.152762,-6.560499999999999
Stone Brewing,11116.499689,10086.938538,-1029.561151,-9.2616
Stone Brewing,9979.833004,8840.049629,-1139.783375,-11.4209
Stone Premium & Smooth Beer Co,1136.666685,1246.888909,110.222224,9.697
FIFCO,9508.25,8945.25,-563,-5.9212
Genesee,8221.25,8495.25,274,3.3328
Imperial,1182,450,-732,-61.9289
Honey Brown,105,0,-105,-100
Pride & Clarke,8426.127597,5426.987512,-2999.140085,-35.5933
Pride & Clarke,8426.127597,5426.987512,-2999.140085,-35.5933
Garage Beer,7250.86087,12573.069219,5322.208349,73.4011
Garage Beer,7250.86087,12573.069219,5322.208349,73.4011
Warwick Valley,7167.242684,6622.812133,-544.430551,-7.5961
Doc's,7167.242684,6605.312133,-561.930551,-7.8403
Warwick Gin,0,12.5,12.5,100
Vodka Hog,0,1,1,100
Gin Pig,0,4,4,100
Paulaner,6903.491868,7005.026602,101.534734,1.4708
Paulaner,3843.734274,3884.403114,40.66884,1.0581
Tsingtao,2214.218744,2412.51041,198.291666,8.9554
Hacker-Pschorr,762.410358,708.113078,-54.29728,-7.1218
Fuller's,83.128492,0,-83.128492,-100
Hofbrauhaus USA,6595.734264,6864.376966,268.642702,4.073
