Sales Rep Assigned,Customer Num,Customer Name,Shipping Address,Distribution Area,Area,County,City,Premise,Buyer Count   2026,Cases   2026
Jim Heaney,24020,US#1 Wine & Liquor,534 Van Houten Ave,Passaic,Passaic,Passaic,Clifton,Off Premise,1,6191.00
Jim Heaney,25042,Town Liquors,805 Van Houten Ave,Passaic,Passaic,Passaic,Clifton,Off Premise,1,5644.00
Jim Heaney,23002,Valley Liquors (A),343 Hazel St,Passaic,Passaic,Passaic,Clifton,Off Premise,1,5047.00
Jim Heaney,28007,Metro Liquors (North Arlington),17 Schuyler Ave,Bergen,Bergen,Bergen,North Arlington,Off Premise,1,4817.00
Jim Heaney,24009,Quik Stop Conv(Z),261 Clifton Avenue,Passaic,Passaic,Passaic,Clifton,Off Premise,1,4469.00
Jim Heaney,30004,West End Wine & Liq,311 Union Ave,Bergen,Bergen,Bergen,Rutherford,Off Premise,1,4320.00
Jim Heaney,29003,Liquor Shed,740 Ridge Road,Bergen,Bergen,Bergen,Lyndhurst,Off Premise,1,4271.33
Jim Heaney,24012,Dante's Liquor & Wine,729 Van Houten Ave,Passaic,Passaic,Passaic,Clifton,Off Premise,1,4268.00
Jim Heaney,24002,Swizzle Stick Liq (A),137 3rd St,Passaic,Passaic,Passaic,Clifton,Off Premise,1,4133.00
Jim Heaney,23003,Pete's Liquors,383 Valley Road,Passaic,Passaic,Passaic,Clifton,Off Premise,1,3639.00
Jim Heaney,13017,On The Rocks,101 Newark Pompton Turnpike,Passaic,Passaic,Passaic,Little Falls,Off Premise,1,3569.00
Jim Heaney,29012,Riverside Liquors,601 Riverside Ave,Bergen,Bergen,Bergen,Lyndhurst,Off Premise,1,3271.00
Jim Heaney,29017,Meadow Fine Liquors,425 Lewandowski St.,Bergen,Bergen,Bergen,Lyndhurst,Off Premise,1,3248.00
Jim Heaney,28011,Liquor Mart (North Arlington),126 Ridge Rd,Bergen,Bergen,Bergen,North Arlington,Off Premise,1,3102.17
Jim Heaney,24005,Henry's Liquors,1224 Van Houten Ave,Passaic,Passaic,Passaic,Clifton,Off Premise,1,2877.00
Jim Heaney,29013,Lyndhurst Liquors (P),298 Ridge Road,Bergen,Bergen,Bergen,Lyndhurst,Off Premise,1,2594.33
Jim Heaney,30007,Village Wine (P),75 Park Ave,Bergen,Bergen,Bergen,Rutherford,Off Premise,1,2461.15
Jim Heaney,29009,Quick Buy,149 Ridge Rd,Bergen,Bergen,Bergen,Lyndhurst,Off Premise,1,2314.00
Jim Heaney,30010,Krauser Food & Liq(A),275 Park Ave,Bergen,Bergen,Bergen,Rutherford,Off Premise,1,2236.00
Jim Heaney,28004,Schuyler Food,574 Schuyler Ave,Bergen,Bergen,Bergen,North Arlington,Off Premise,1,2187.00
Jim Heaney,24001,Richfield Liquors,1362 Clifton Ave,Passaic,Passaic,Passaic,Clifton,Off Premise,1,2084.00
Jim Heaney,23007,Field Liquors (A),1006 W Rt 46 W,Passaic,Passaic,Passaic,Clifton,Off Premise,1,1951.00
Jim Heaney,24037,Vasel's (A),586 Bloomfield Ave,Passaic,Passaic,Passaic,Clifton,Off Premise,1,1845.00
Jim Heaney,30006,Forest Dairy (A),10 Spring Dell,Bergen,Bergen,Bergen,Rutherford,Off Premise,1,1801.00
Jim Heaney,25023,Clifton Wine & Liquor,111 Lakeview Ave,Passaic,Passaic,Passaic,Clifton,Off Premise,1,1752.00
Jim Heaney,24014,Bottleneck Liquors,120 Market St,Passaic,Passaic,Passaic,Clifton,Off Premise,1,1740.00
Jim Heaney,29008,Krauszers Food,121-123 Valley Brook Ave,Bergen,Bergen,Bergen,Lyndhurst,Off Premise,1,818.00
Jim Heaney,24021,Liquor Stop (P) (Clifton),565 Clifton Ave,Passaic,Passaic,Passaic,Clifton,Off Premise,1,770.00
Jim Heaney,25032,Liquor Mart 46,1081 US-46,Passaic,Passaic,Passaic,Clifton,Off Premise,1,688.00
Dave Ehlers,58004,Wine And Liq Depot(A),953 Teaneck Rd,Sales,Sales,Passaic,Totowa,Off Premise,35,373966.51
Dave Ehlers,14007,Total Wine & More (Totowa),465 US Highway 46,Passaic,Passaic,Passaic,Totowa,Off Premise,1,64944.00
Dave Ehlers,58001,Total Wine & More (River Edge),1001 Main St,Bergen,Bergen,Bergen,River Edge,Off Premise,1,63618.00
Dave Ehlers,52040,Burgundy Convenience Store,4 W Palisade Ave,Sales,Sales,Bergen,Englewood,Off Premise,1,31062.65
Dave Ehlers,52015,Shop Rite Liq (A)Englewd,53 Nathaniel Pl,Bergen,Bergen,Bergen,Englewood,Off Premise,1,25851.00
Dave Ehlers,57001,Barrel & Brew Bar & Liq,868-872 River Rd,Bergen,Bergen,Bergen,New Milford,Off Premise,1,20096.20
Dave Ehlers,40022,Buy Rite Of Hackensack,410 River St,Bergen,Bergen,Bergen,Hackensack,Off Premise,1,20014.50
Dave Ehlers,56007,Portland Wine & Liquor,22 Portland Ave,Bergen,Bergen,Bergen,Bergenfield,Off Premise,1,15131.00
Dave Ehlers,39012,Wine And Liq Depot(A),310 Huyler St,Bergen,Bergen,Bergen,South Hackensac,Off Premise,1,14727.00
Dave Ehlers,50013,Wine & More (P),953 Teaneck Rd,Bergen,Bergen,Bergen,Teaneck,Off Premise,1,14351.04
Dave Ehlers,40010,Hackensack Liquors,500 South River St,Bergen,Bergen,Bergen,Hackensack,Off Premise,1,13917.00
Dave Ehlers,56008,Bergenfield Liq & Fw,5 S Washington Ave,Bergen,Bergen,Bergen,Bergenfield,Off Premise,1,11546.00
Dave Ehlers,52019,W E Beverage (A),91 W Palisade Ave,Bergen,Bergen,Bergen,Englewood,Off Premise,1,7526.00
Dave Ehlers,56013,Time Lounge And Liq (A),487-489 S Washington Ave,Bergen,Bergen,Bergen,Bergenfield,Off Premise,1,7249.00
Dave Ehlers,40004,Simple Simon's (Z),337 Essex St,Bergen,Bergen,Bergen,Hackensack,Off Premise,1,7070.00
Dave Ehlers,40001,Bottle & Cork,380 W Pleasantview Ave,Bergen,Bergen,Bergen,Hackensack,Off Premise,1,6643.00
Dave Ehlers,40017,Essex St Liquor and Wine,214 Essex St,Bergen,Bergen,Bergen,Hackensack,Off Premise,1,6011.00
Dave Ehlers,41005,George's Liq,130 Anderson St,Bergen,Bergen,Bergen,Hackensack,Off Premise,1,5985.00
Dave Ehlers,51008,H & R Disc. Liq (P),1350-1352 Teaneck Rd,Bergen,Bergen,Bergen,Teaneck,Off Premise,1,5453.00
Dave Ehlers,41012,Deli Mart (A),789 Main St,Bergen,Bergen,Bergen,Hackensack,Off Premise,1,5435.00
Dave Ehlers,51013,G & G Liquors,1435 Teaneck Rd,Bergen,Bergen,Bergen,Teaneck,Off Premise,1,4820.00
Dave Ehlers,57003,Joes Beer Wine & Spirits,710 River Rd,Bergen,Bergen,Bergen,New Milford,Off Premise,1,4606.00
Dave Ehlers,52025,Englewood Wine and Spirits,481 N Dean St,Bergen,Bergen,Bergen,Englewood,Off Premise,1,2834.00
Dave Ehlers,57006,New Milford Liquors,401 River Rd,Bergen,Bergen,Bergen,New Milford,Off Premise,1,2797.00
Dave Ehlers,51018,Teaneck Discount Liquor,764 New Bridge Road,Bergen,Bergen,Bergen,Teaneck,Off Premise,1,2547.17
Dave Ehlers,58002,River Edge Wine & Liquor,504 Kinderkamack Rd,Bergen,Bergen,Bergen,River Edge,Off Premise,1,2232.00
Dave Ehlers,58004,Country Wine & Liquors,842 Kinderkamack Rd,Bergen,Bergen,Bergen,River Edge,Off Premise,1,1677.95
Dave Ehlers,52008,Englewood Liq (A),42 E Palisade Ave,Bergen,Bergen,Bergen,Englewood,Off Premise,1,1349.00
Dave Ehlers,51012,Teaneck Liquors,1531 Teaneck Rd,Bergen,Bergen,Bergen,Teaneck,Off Premise,1,998.00
Dave Ehlers,41015,99 Ranch Market,450 Hackensack Ave,Bergen,Bergen,Bergen,Hackensack,Off Premise,1,991.00
Dave Ehlers,52004,Grand Liquor & Delicatesen,124 Grand Ave.,Bergen,Bergen,Bergen,Englewood,Off Premise,1,701.00
Dave Ehlers,51004,Fill Er Up Kosher Wine(P),174 West Englewood Ave,Bergen,Bergen,Bergen,Teaneck,Off Premise,1,611.00
Dave Ehlers,52029,Santa Barbara,79 Slocum Ave,Bergen,Bergen,Bergen,Englewood,Off Premise,1,495.00
Dave Ehlers,56015,VINEYARD,89 New Bridge Rd,Sales,Sales,Bergen,Bergenfield,Off Premise,1,493.00
Dave Ehlers,40037,Parisi Deli,89 S State St,Bergen,Bergen,Bergen,Hackensack,Off Premise,1,167.00
Dave Ehlers,52011,Englewood Wine (A),1 Engle St,Bergen,Bergen,Bergen,Englewood,Off Premise,1,17.00
John Neukum,190931,Western Bev 21088 Clift,315 Rt. 15 North,Passaic,Passaic,Passaic,Wharton,Off Premise,7,371989.00
John Neukum,31019,Bj's Warehouse E Rutherfo,300 Rt 17 N,Bergen,Bergen,Bergen,East Rutherford,Off Premise,1,206957.00
John Neukum,24010,Western Bev 21088 Clift,20 Bridewell Place,Passaic,Passaic,Passaic,Clifton,Off Premise,1,71194.00
John Neukum,12060,Costco Whlse V#32366-Wayn,149 Rt. 23,Passaic,Passaic,Passaic,Wayne,Off Premise,1,46166.00
John Neukum,39016,NB Liquors,2 Teterboro Landing Dr,Bergen,Bergen,Bergen,Teterboro,Off Premise,1,44875.00
John Neukum,39019,Costco 1214 Teterboro (NA),2 Teterboro Landing Dr,Bergen,Bergen,Bergen,Teterboro,Off Premise,1,1297.00
John Neukum,190931,Costco 315 Wharton (NA),315 Rt. 15 North,Bergen,Bergen,Morris,Wharton,Off Premise,1,1000.00
John Neukum,24059,Costco 306 Clifton (NA),20 Bridewell Place,Passaic,Passaic,Passaic,Clifton,Off Premise,1,500.00
Javier Melo,27071,Shanik Liqs.(P),952 Main Ave,Sales,Sales,Passaic,Paterson,Off Premise,29,311755.28
Javier Melo,22024,Edwards (P) Wine & Liq,910 Main Street,Passaic,Passaic,Passaic,Paterson,Off Premise,1,43278.21
Javier Melo,27059,D'bar Liquors (P),898 Main Ave,Passaic,Passaic,Passaic,Passaic,Off Premise,1,37083.24
Javier Melo,20117,El Cantaro Liquors,416 Market Street,Sales,Sales,Passaic,Paterson,Off Premise,1,24952.78
Javier Melo,27002,President Liqrs (A),158 President St,Passaic,Passaic,Passaic,Passaic,Off Premise,1,18573.05
Javier Melo,21044,Farm Boy,465 Getty Ave,Passaic,Passaic,Passaic,Paterson,Off Premise,1,12843.00
Javier Melo,25012,Bottle Liquor (P),550 Lexington Avenue,Passaic,Passaic,Passaic,Clifton,Off Premise,1,12230.00
Javier Melo,27046,New Eagle Liquors,126 Passaic St,Passaic,Passaic,Passaic,Passaic,Off Premise,1,12040.00
Javier Melo,25047,Parker Liquors (Z),203 Parker Ave,Passaic,Passaic,Passaic,Clifton,Off Premise,1,12020.00
Javier Melo,27040,Danny's Liquor,268 Monroe St,Passaic,Passaic,Passaic,Passaic,Off Premise,1,10630.00
Javier Melo,20021,Diamond Liquors (P),507 Summer St,Passaic,Passaic,Passaic,Paterson,Off Premise,1,10535.00
Javier Melo,21023,Luna Liquors,291 Park Avenue,Passaic,Passaic,Passaic,Paterson,Off Premise,1,10468.00
Javier Melo,27012,ESTEVEZ LIQUORS LLC,110 Market St,Passaic,Passaic,Passaic,Passaic,Off Premise,1,10071.00
Javier Melo,27037,Shanik Liqs.(P),952 Main Ave,Passaic,Passaic,Passaic,Passaic,Off Premise,1,9782.00
Javier Melo,20056,East Side Bar Liquors,442 10th Ave,Passaic,Passaic,Passaic,Paterson,Off Premise,1,8765.00
Javier Melo,27008,Bermuda Liquors (P),177 Hope Ave,Passaic,Passaic,Passaic,Passaic,Off Premise,1,8360.00
Javier Melo,20031,La Joya Liquors,15 Park Ave,Passaic,Passaic,Passaic,Paterson,Off Premise,1,6849.00
Javier Melo,21026,C Town Supermarket(P),444 20th Avenue,Passaic,Passaic,Passaic,Paterson,Off Premise,1,6621.00
Javier Melo,20069,Segundo's (P),293 Madison Ave,Passaic,Passaic,Passaic,Paterson,Off Premise,1,6600.00
Javier Melo,24003,Paulison Liquors (P),621 Paulison Ave,Passaic,Passaic,Passaic,Clifton,Off Premise,1,6550.00
Javier Melo,27034,Liquor Stop (Passaic),321 Broadway,Passaic,Passaic,Passaic,Passaic,Off Premise,1,6317.00
