Customer Num,Customer Name,Draft Package,Shipping Address,City,County,Distribution Area,Buyer Count   2026,Units   2026
15049,Francesco's In The Park,2) Draft and Package,568 Mc Bride Ave,Woodland Park,Passaic,Passaic,1.00,64.00
15053,Wrights Tavern(Z),3) Package Only,80 Montgomery St,Paterson,Passaic,Passaic,1.00,1310.00
15054,Blue Palace (A),3) Package Only,4 North Bridge Street,Paterson,Passaic,Passaic,1.00,39.00
15062,Ragtime Gentlemen's Club,3) Package Only,821 Mcbride Avenue,Woodland Park,Passaic,Passaic,1.00,23.00
15067,Naxos Estiatorio,2) Draft and Package,1738 Rt 46 W,Woodland Park,Passaic,Passaic,1.00,304.00
15069,Mexico Bar & Grill,3) Package Only,246 Mcbride Ave,Paterson,Passaic,Passaic,1.00,2241.60
15070,Brownstone House,2) Draft and Package,351 W Broadway,Paterson,Passaic,Passaic,1.00,246.00
15074,Bask 46,2) Draft and Package,1530 Rt 46 West,Woodland Park,Passaic,Passaic,1.00,637.00
15077,E & V (A) Restaurant,3) Package Only,320 Chamberlain Ave,Paterson,Passaic,Passaic,1.00,50.00
15079,American Lgn Totowa,2) Draft and Package,180 Union Blvd,Totowa,Passaic,Passaic,1.00,395.00
15081,Evolution Restaurant & Bar,2) Draft and Package,279 W Browertown Rd,Woodland Park,Passaic,Passaic,1.00,2758.70
15085,Reign,2) Draft and Package,138 Belmont Ave,Paterson,Passaic,Passaic,1.00,500.00
17001,Underdog Lounge(P),2) Draft and Package,4 Church Street,Haledon,Passaic,Passaic,1.00,209.00
17003,D'CARBON BAR AND GRILL haledon,2) Draft and Package,529 Belmont Ave,Haledon,Passaic,Passaic,1.00,214.00
17006,The Yard,2) Draft and Package,289 Belmont Ave,Haledon,Passaic,Passaic,1.00,389.00
17009,Jimmy Geez (P),2) Draft and Package,436 Belmont Ave,Haledon,Passaic,Passaic,1.00,485.00
17013,Joe's pub,2) Draft and Package,383 Belmont Ave,Haledon,Passaic,Sales,1.00,1290.30
17015,Haledon Fire Dept(A),2) Draft and Package,522 W Broadway,Haledon,Passaic,Passaic,1.00,8.00
17017,Veterans Club (Z),3) Package Only,417 Roe Street,Haledon,Passaic,Passaic,1.00,134.00
17019,La Neves (P),2) Draft and Package,276 Belmont Ave,Haledon,Passaic,Passaic,1.00,109.00
18002,Cinco De Mayo,3) Package Only,371 High Mt Road,North Haledon,Passaic,Passaic,1.00,99.00
18005,Giuseppe (P) Rest.,2) Draft and Package,5 Sicomac Road,North Haledon,Passaic,Passaic,1.00,6.00
18007,The Tides,3) Package Only,1245 Belmont Ave,North Haledon,Passaic,Passaic,1.00,187.00
18008,Papa Joe's (Z),2) Draft and Package,778 Belmont Ave,North Haledon,Passaic,Passaic,1.00,6.00
19002,Puzo's Pizza,2) Draft and Package,4 Garfield Ave,Hawthorne,Passaic,Passaic,1.00,78.00
19004,Shortways' Barn (A),2) Draft and Package,991 Goffle Road,Hawthorne,Passaic,Passaic,1.00,1339.00
19005,Celtic Corner,2) Draft and Package,312 Lafayette Ave,Hawthorne,Passaic,Passaic,1.00,475.00
19006,Blackjack Mulligans (Hawthorne),2) Draft and Package,237 Diamond Bridge Ave,Hawthorne,Passaic,Passaic,1.00,1025.00
19011,Las Maravillas Restaurant,2) Draft and Package,410 Wagaraw Road,Hawthorne,Passaic,Passaic,1.00,309.00
