Sales Rep Assigned,Customer Num,Customer Name,On-Off Premise,Product Num,Product Name,Package,Date,Placement Count   1/1/2025 - 12/31/2025,Placement Count   6/1/2026 - 8/31/2026,Placement Count   9/1/2026 - 9/30/2026,Cases   1/1/2025 - 12/31/2025,Cases   6/1/2026 - 8/31/2026,Cases   9/1/2026 - 9/30/2026
Klejdi Lamo,191814,Sandy's Wine & Spirit (P) (Budd Lake),Off Premise,7797,Evil Genius Stacy's Mom Citra IPA 4/6/12 oz Can,4/6/12oz Can,7/1/2025,1.00,,,2.00,,
Brian Sengebush,190601,Thatcher Mcghee's (A),On Premise,7711,Evil Genius Stacy's Mom Citra IPA Keg 15.5 Gal Keg,15.5 Gal Keg,7/1/2025,1.00,,,1.00,,
Robin Feldman,84021,Upper Ridgewood Tennis(A),On Premise,7797,Evil Genius Stacy's Mom Citra IPA 4/6/12 oz Can,4/6/12oz Can,7/1/2025,1.00,,,2.00,,
Shane Barreca,75004,Cork & Keg (A),Off Premise,7797,Evil Genius Stacy's Mom Citra IPA 4/6/12 oz Can,4/6/12oz Can,6/30/2025,1.00,,,1.00,,
Anthony Palmisano,3001,Best Cellars (Wanaque),Off Premise,7797,Evil Genius Stacy's Mom Citra IPA 4/6/12 oz Can,4/6/12oz Can,6/28/2025,1.00,,,3.00,,
Nick Melissari,94005,Cenzino's (P),On Premise,7797,Evil Genius Stacy's Mom Citra IPA 4/6/12 oz Can,4/6/12oz Can,6/28/2025,1.00,,,1.00,,
Jaime Colonna,178011,The Highwood,On Premise,7711,Evil Genius Stacy's Mom Citra IPA Keg 15.5 Gal Keg,15.5 Gal Keg,6/27/2025,1.00,,,1.00,,
Brian Sengebush,190205,Sharky's West (P),On Premise,7707,Evil Genius Stacy's Mom Citra IPA 5.2 Gal Keg,5.2 Gal Keg,6/27/2025,1.00,,,2.00,,
John O'Donoghue,190711,Shop Rite Liquors,Off Premise,7790,Evil Genius Stacy's Mom Citra IPA 1/12/19.2 oz Can,12/19.2oz Can,6/27/2025,1.00,,,2.00,,
Alisa Acciardi,174150,Bayonne Patio Bar & Grill,On Premise,7707,Evil Genius Stacy's Mom Citra IPA 5.2 Gal Keg,5.2 Gal Keg,6/26/2025,1.00,,,1.00,,
Mike Ast,12011,Bottle King (A) Wayne,Off Premise,7797,Evil Genius Stacy's Mom Citra IPA 4/6/12 oz Can,4/6/12oz Can,6/26/2025,1.00,,,2.00,,
Allison Scott,5008,Celtic Crossings,On Premise,7711,Evil Genius Stacy's Mom Citra IPA Keg 15.5 Gal Keg,15.5 Gal Keg,6/26/2025,1.00,,,1.00,,
Brian Sengebush,230109,Skyview Golf Course (A),On Premise,7707,Evil Genius Stacy's Mom Citra IPA 5.2 Gal Keg,5.2 Gal Keg,6/26/2025,1.00,,,1.00,,
