Sales Rep Assigned,Customer Num,Customer Name,Product Num,Product Name,Product Type,Package,Brand Family,Date,Buyer Count   8/1/2026 - 8/31/2026,Placement Count   8/1/2026 - 8/31/2026,Case Equivalents   8/1/2026 - 8/31/2026,Units   8/1/2026 - 8/31/2026
Allison Scott,15004,Blackjack Mulligan's Public House,5805,Point Whole Hog Pumpkin Ale 7.75 Gal Keg,Keg Beer,1/4 BBL Keg (7.75 Gal),Whole Hog,8/6/2026,1.00,1.00,6.89,2.00
Allison Scott,8006,pompton crafthouse,13137,Cape May Pick of The Batch Pumpkin Ale 4/6/12 oz Can,Case Beer,4/6/12oz Can,Cape May,8/14/2026,1.00,1.00,1.00,1.00
Allison Scott,12057,YARD HOUSE 8384,10408,Paulaner Oktoberfest Bier 13.2 Gal Keg,Keg Beer,50 Liter Keg (13.2 Gal),Paulaner,8/25/2026,1.00,1.00,46.96,8.00
Allison Scott,19005,Celtic Corner,5805,Point Whole Hog Pumpkin Ale 7.75 Gal Keg,Keg Beer,1/4 BBL Keg (7.75 Gal),Whole Hog,8/5/2026,1.00,1.00,6.89,2.00
Allison Scott,8006,pompton crafthouse,5805,Point Whole Hog Pumpkin Ale 7.75 Gal Keg,Keg Beer,1/4 BBL Keg (7.75 Gal),Whole Hog,8/18/2026,1.00,1.00,3.44,1.00
Allison Scott,8006,pompton crafthouse,5830,Point Whole Hog Pumpkin Ale 4/6/12 oz Btl,Case Beer,4/6/12oz NR,Whole Hog,8/14/2026,1.00,1.00,1.00,1.00
Allison Scott,8006,pompton crafthouse,3336,Hofbrau Oktoberfest 6/4/16.9 oz Can,Case Beer,6/4/16.9oz Can,Hofbrau Usa,8/14/2026,1.00,1.00,1.41,1.00
Allison Scott,24019,Sharky's Wings(P),5805,Point Whole Hog Pumpkin Ale 7.75 Gal Keg,Keg Beer,1/4 BBL Keg (7.75 Gal),Whole Hog,8/25/2026,1.00,1.00,10.33,3.00
Allison Scott,8006,pompton crafthouse,674,Montauk Pumpkin Ale 4/6/12 oz Can,Case Beer,4/6/12oz Can,Montauk,8/14/2026,1.00,1.00,1.00,1.00
Allison Scott,15004,Blackjack Mulligan's Public House,5214,Great Lakes Oktoberfest 5.2 Gal Keg,Keg Beer,1/6 BBL Keg (5.2 Gal),Great Lakes,8/13/2026,1.00,1.00,2.31,1.00
Allison Scott,8006,pompton crafthouse,13139,Cape May Pick of The Batch Pumpkin Ale 5.2 Gal Keg,Keg Beer,5.2 Gal Keg,Cape May,8/18/2026,1.00,1.00,2.29,1.00
Allison Scott,12037,Maggies Town Tavern Ii,5805,Point Whole Hog Pumpkin Ale 7.75 Gal Keg,Keg Beer,1/4 BBL Keg (7.75 Gal),Whole Hog,8/21/2026,1.00,1.00,3.44,1.00
