cust,name,rep,premise,city,brand,package,prog_cases,post_cases,rebuys
12064,In The Drink@Passaic Gc,Allison Scott,On Premise,Wayne,Coors Light,15.5 Gal Keg,3,2,2
12064,In The Drink@Passaic Gc,Allison Scott,On Premise,Wayne,Coors Light,24/12oz NR,5,5,2
12064,In The Drink@Passaic Gc,Allison Scott,On Premise,Wayne,Coors Light,30/12oz Can,15,15,2
12064,In The Drink@Passaic Gc,Allison Scott,On Premise,Wayne,Lite,15.5 Gal Keg,1,3,3
12064,In The Drink@Passaic Gc,Allison Scott,On Premise,Wayne,Lite,24/12oz NR,8,5,2
12064,In The Drink@Passaic Gc,Allison Scott,On Premise,Wayne,Lite,30/12oz Can,15,30,4
12064,In The Drink@Passaic Gc,Allison Scott,On Premise,Wayne,Peroni,15.5 Gal Keg,1,3,3
12065,"Buffalo Wild Wings - Wayne, NJ",Allison Scott,On Premise,Wayne,Coors,24/12oz NR,1,0,0
12065,"Buffalo Wild Wings - Wayne, NJ",Allison Scott,On Premise,Wayne,Coors Light,15.5 Gal Keg,6,3,3
12065,"Buffalo Wild Wings - Wayne, NJ",Allison Scott,On Premise,Wayne,Coors Light,24/12oz NR,1,0,0
12065,"Buffalo Wild Wings - Wayne, NJ",Allison Scott,On Premise,Wayne,Lite,15.5 Gal Keg,3,3,3
12065,"Buffalo Wild Wings - Wayne, NJ",Allison Scott,On Premise,Wayne,Lite,24/12oz NR,1,0,0
13002,The Little Falls Tavern,Allison Scott,On Premise,Little Falls,Coors Light,15.5 Gal Keg,9,4,4
13002,The Little Falls Tavern,Allison Scott,On Premise,Little Falls,Coors Light,24/12oz NR,10,11,5
13002,The Little Falls Tavern,Allison Scott,On Premise,Little Falls,Lite,15.5 Gal Keg,12,7,7
13002,The Little Falls Tavern,Allison Scott,On Premise,Little Falls,Lite,24/12oz NR,50,15,3
13002,The Little Falls Tavern,Allison Scott,On Premise,Little Falls,Peroni,1/4 BBL Keg (7.75 Gal),6,0,0
13002,The Little Falls Tavern,Allison Scott,On Premise,Little Falls,Peroni,4/6/11.2oz NR,4,2,2
13003,Maggie's Town Tav.(P),Allison Scott,On Premise,Little Falls,Coors Light,15.5 Gal Keg,15,6,6
13003,Maggie's Town Tav.(P),Allison Scott,On Premise,Little Falls,Coors Light,24/12oz NR,54,24,8
13003,Maggie's Town Tav.(P),Allison Scott,On Premise,Little Falls,Lite,24/12oz NR,77,39,8
13003,Maggie's Town Tav.(P),Allison Scott,On Premise,Little Falls,Peroni,4/6/11.2oz NR,3,2,2
13003,Maggie's Town Tav.(P),Allison Scott,On Premise,Little Falls,Peroni,4/6/11.2oz NR,3,1,1
13005,Sear,Allison Scott,On Premise,Little Falls,Coors Light,24/12oz NR,10,3,1
13005,Sear,Allison Scott,On Premise,Little Falls,Peroni,4/6/11.2oz NR,24,11,3
13013,Amer Lgn L Falls (Z),Allison Scott,On Premise,Little Falls,Lite,30/12oz Can,5,6,1
