product_num,name,supplier,family,brand,package
6777,New Belgium Voodoo Ranger Juice Force IPA 4/6/12 oz Can,New Belgium Brewing Company,Voodoo Family,New Belgium Voodoo Ranger Juice Force,4/6/12oz Can
6778,New Belgium Voodoo Ranger Juice Force IPA 1/15/19.2 oz Can,New Belgium Brewing Company,Voodoo Family,New Belgium Voodoo Ranger Juicy Haze IPA,1/15/19.2oz Can
6782,New Belgium Voodoo Ranger Juice Force IPA Keg 15.5 Gal Keg,New Belgium Brewing Company,Voodoo Family,New Belgium Voodoo Ranger Juice Force,15.5 Gal Keg
6786,New Belgium Holiday Ale 4/6/12 oz Can,New Belgium Brewing Company,New Belgium Brewing Company,New Belgium Holiday Ale,4/6/12oz Can
6788,New Belgium Voodoo Ranger Fruit Force IPA 4/6/12 oz Can,New Belgium Brewing Company,Voodoo Family,New Belgium Voodoo Ranger Fruit Force IPA,4/6/12oz Can
6790,New Belgium Voodoo Ranger Fruit Force IPA 1/15/19.2 oz Can,New Belgium Brewing Company,Voodoo Family,New Belgium Voodoo Ranger Fruit Force IPA,1/15/19.2oz Can
6791,New Belgium Voodoo Ranger Juicy Haze 1/15/19.2 oz Can,New Belgium Brewing Company,Voodoo Family,New Belgium Voodoo Ranger Juicy Haze IPA,1/15/19.2oz Can
6792,New Belgium Voodoo Ranger Juice Force 2/12/12 oz Can,New Belgium Brewing Company,Voodoo Family,New Belgium Voodoo Ranger Juice Force,2/12/12oz Can
6795,New Belgium Ha Chi Keg 15.5 Gal Keg,New Belgium Brewing Company,New Belgium Brewing Company,New Belgium Ha Chi,15.5 Gal Keg
6796,New Belgium Voodoo Ranger 1985 Mango IPA Keg 15.5 Gal Keg,New Belgium Brewing Company,Voodoo Family,New Belgium Voodoo Ranger 1985 Mango IPA,15.5 Gal Keg
6797,New Belgium Voodoo Ranger Hoppy Variety Pack 1/24/12 oz Loose Can,New Belgium Brewing Company,New Belgium Brewing Company,New Belgium Voodoo Ranger Hoppy Variety Pack_2,1/24/12oz Can
6834,New Belgium Fat Tire 4/6/12 oz Can,New Belgium Brewing Company,Fat Tire Family,New Belgium Fat Tire Amber Ale,4/6/12oz Can
6981,Garage Beer Light Lager 2/12/12 oz Can,Garage Beer,Garage Beer,Garage Beer Light,2/12/12oz Can
6982,Garage Beer Light Lager 1/24/12 oz Loose Can,Garage Beer,Garage Beer,Garage Beer Light,1/24/12oz Can
6983,Garage Beer Light Lager Keg 15.5 Gal Keg,Garage Beer,Garage Beer,Garage Beer Light,15.5 Gal Keg
6984,Garage Beer Light Lager 4/6/16 oz Can,Garage Beer,Garage Beer,Garage Beer Light,4/6/16oz Can
6986,Garage Beer Light Lager 5.2 Gal Keg,Garage Beer,Garage Beer,Garage Beer Light,5.2 Gal Keg
6987,Garage Beer Light Lime 2/12/12 oz Can,Garage Beer,Garage Beer,Garage Beer Light Lime,2/12/12oz Can
6988,Garage Beer Light Lime Keg 15.5 Gal Keg,Garage Beer,Garage Beer,Garage Beer Light Lime,15.5 Gal Keg
6989,Garage Beer Light Lime 4/6/16 oz Can,Garage Beer,Garage Beer,Garage Beer Light Lime,4/6/16oz Can
6990,Garage Beer Light Lime 5.2 Gal Keg,Garage Beer,Garage Beer,Garage Beer Light Lime,5.2 Gal Keg
6991,Garage Beer Light Lager 1/12/24 oz Can,Garage Beer,Garage Beer,Garage Beer Light,1/12/24oz Can
6992,Garage Beer Light Lime 1/12/24 oz Can,Garage Beer,Garage Beer,Garage Beer Light Lime,1/12/24oz Can
6993,Garage Beer Variety 1/24/12 oz Loose Can,Garage Beer,Garage Beer,Garage Beer Variety,1/24/12oz Can
6994,Garage Beer Light Lime 1/24/12 oz Loose Can,Garage Beer,Garage Beer,Garage Beer Light Lime,1/24/12oz Can
6995,Garage Beer Light Lager 4/6/12 oz Btl,Garage Beer,Garage Beer,Garage Beer Light,4/6/12oz NR
6996,Garage Beer Light Lime 4/6/12 oz Btl,Garage Beer,Garage Beer,Garage Beer Light Lime,4/6/12oz NR
6997,Garage Beer Light Lager Bucket 1/24/12 oz Can,Garage Beer,Garage Beer,Garage Beer Light Bucket,1/24/12oz Can
7101,Aguila 4/6/12 oz Btl,MolsonCoors Beverage Company,Aguila,Cerveza Aguila,4/6/12oz NR
7107,Cristal 4/6/12 oz Btl,MolsonCoors Beverage Company,Cristal,Cristal,4/6/12oz NR
7110,Cusquena 4/6/12 oz Btl,MolsonCoors Beverage Company,Cusquena,Cerveza Cusqueña,4/6/12oz NR
7111,Cusquena Dark 4/6/12 oz Btl,MolsonCoors Beverage Company,Cusquena,Cerveza Cusqueña,4/6/12oz NR
7115,Fosters Lager 1/12/25.4 oz Can,MolsonCoors Beverage Company,Fosters,Foster's Lager,12/25.4oz Can
7116,Fosters Lager Keg 15.5 Gal Keg,MolsonCoors Beverage Company,Fosters,Foster's Lager,15.5 Gal Keg
7118,Fosters Premium Ale 1/12/25.4 oz Can,MolsonCoors Beverage Company,Fosters,Foster's Premium Ale,12/25.4oz Can
