customer_num,name,premise,address,county,area,rep,dm
11014,Wayne Liquor Locker,Off,598 Valley Rd,Passaic,Passaic,Michael Harboy,Mike Kennedy
12001,T Bowl Tavern (Z),On,300 Preakness Shop Ctr,Passaic,Passaic,Allison Scott,Chris McCrohan
12003,Whole Foods Market (Wayne),On,580 Valley Road,Passaic,Passaic,Michael Harboy,Mike Kennedy
12005,Shay's Liquors,Off,1166 Hamburg Tnpk,Passaic,Passaic,Michael Harboy,Mike Kennedy
12006,Novelli (P),On,2410 Hamburg Turnpike,Passaic,Passaic,Robin Feldman,Chris McCrohan
12007,Gary's Wine & Marketplace (Wayne),Off,1308 Rte 23,Passaic,Passaic,Phil Ernst,Mike Engel
12008,North Jersey C C,On,594 Hamburg Turnpike,Passaic,Passaic,Allison Scott,Chris McCrohan
12010,Fogo de Chao (Wayne),On,1400 Willowbrook Mall,Passaic,Sales,Allison Scott,Chris McCrohan
12011,Bottle King (A) Wayne,Off,1950 NJ-23,Passaic,Passaic,Mike Ast,Paul Deady
12012,Cosmopolitan,On,1377 NJ-23,Passaic,Passaic,Robin Feldman,Chris McCrohan
12013,Jalapenos Mexican Grill,On,142 Ryerson Ave.,Passaic,Passaic,Allison Scott,Chris McCrohan
12014,Olive Garden (A) Wayne,On,83 Route 23 South,Passaic,Passaic,Allison Scott,Chris McCrohan
12015,Izumi Hibachi Steak House,On,517 NJ-23,Passaic,Passaic,Allison Scott,Chris McCrohan
12017,Shays Liquors,Off,1489 NJ-23,Passaic,Passaic,Michael Harboy,Mike Kennedy
12018,KRIOS Prime,On,344 French Hill Road,Passaic,Passaic,Allison Scott,Chris McCrohan
12019,In The Crease (P),On,10 Nevins Road,Passaic,Passaic,Robin Feldman,Chris McCrohan
12020,Lakeside Drive Tavern,On,56 Lake Drive West,Passaic,Passaic,Allison Scott,Chris McCrohan
12021,Meat Market Steak House,On,37 Berdan Ave.,Passaic,Passaic,Allison Scott,Chris McCrohan
12022,Grasshopper Too (A),On,26 Erie Ave,Passaic,Passaic,Allison Scott,Chris McCrohan
12023,The Village Inn,On,422 Runnymede Drive,Passaic,Passaic,Robin Feldman,Chris McCrohan
12024,Park Wayne Diner,On,721 Hamburg Turnpike,Passaic,Passaic,Robin Feldman,Chris McCrohan
12025,Vila Verde (P) Rest.,On,120 Terhune Dr,Passaic,Passaic,Robin Feldman,Chris McCrohan
12026,WAYNE ALE HOUSE & PIZZA,On,611 Ratzer Road,Passaic,Passaic,Allison Scott,Chris McCrohan
12029,Elks Post (A) #2181 Wayne,On,50 Hinchmans Ave,Passaic,Passaic,Robin Feldman,Chris McCrohan
12031,Double Ai Asian Bistro,On,107 Terhune Dr,Passaic,Sales,Allison Scott,Chris McCrohan
12032,Casa Don Manuel,On,1292 Alps Rd,Passaic,Passaic,Allison Scott,Chris McCrohan
12034,"Dave & Buster's Nj, Inc",On,310 Willowbrook Mall,Passaic,Passaic,Allison Scott,Chris McCrohan
12035,Preakness Hills (A) cc,On,1050 Ratzer Road,Passaic,Passaic,Allison Scott,Chris McCrohan
12036,Brokedown Palace,On,95 Mountainview Blvd,Passaic,Passaic,Allison Scott,Chris McCrohan
12037,Maggies Town Tavern Ii,On,1082 Hamburg Turnpike,Passaic,Passaic,Allison Scott,Chris McCrohan
12038,Tommy's Tavern + Tap (Wayne),On,71 NJ-23,Passaic,Passaic,Allison Scott,Chris McCrohan
12040,NYX,On,24 Galesi Drive,Passaic,Passaic,Allison Scott,Chris McCrohan
12041,Cheesecake Fact (A)Wayne,On,1700 Willowbrook Mall,Passaic,Passaic,Allison Scott,Chris McCrohan
12042,Exotic Indian Cuisine,On,24 Rt 46 East,Passaic,Passaic,Robin Feldman,Chris McCrohan
12043,Outback Stkhse(P)Wayne,On,189 Berdan Avenue,Passaic,Passaic,Allison Scott,Chris McCrohan
12046,Packanack Lake Comm Asso,On,52 Lake Drive West,Passaic,Passaic,Robin Feldman,Chris McCrohan
12047,American Lgn 174 Wayne,On,55 Mountain View Blvd,Passaic,Passaic,Robin Feldman,Chris McCrohan
