Sales Rep Assigned,Customer Num,Customer Name,Buyer Count   2026
Brian Sengebush,230120,Village Saloon (P),1.00
Brian Sengebush,230432,Vfw 5360 Newton(P),1.00
Brian Sengebush,191603,Sabor Latino,1.00
Brian Sengebush,191719,American Lgn Stanhope,1.00
Brian Sengebush,190723,Muldoon's Steak & Pub,1.00
Brian Sengebush,231718,Jumboland Diner,1.00
Brian Sengebush,190206,Ombra,1.00
Brian Sengebush,230306,AG Pizza & Restaurant - Newton,1.00
Brian Sengebush,191601,Stoll Street Tavern,1.00
Brian Sengebush,191818,Holiday Inn,1.00
Brian Sengebush,231601,Farmstead Golf (P),1.00
Brian Sengebush,190503,The Station,1.00
Brian Sengebush,231714,Mountain House Tav & Gril,1.00
Brian Sengebush,190903,Taphouse 15,1.00
Brian Sengebush,191405,Pat's Bar (P),1.00
Brian Sengebush,190914,Colossal Restaurant,1.00
Brian Sengebush,230103,St.Moritz Grill & Bar,1.00
Brian Sengebush,191521,Patricks Pub (P),1.00
Brian Sengebush,231710,Lakeside Pub (P),1.00
Brian Sengebush,191504,Jefferson House (A),1.00
Brian Sengebush,230101,"Tomahawk Lake,Inc",1.00
Brian Sengebush,191715,Shakey Jake's (P),1.00
Brian Sengebush,191502,Alice's (Z),1.00
Brian Sengebush,191001,Stone Water,1.00
Brian Sengebush,191808,La Mezcalita,1.00
Brian Sengebush,190724,PF Changs,1.00
Brian Sengebush,191802,E & D Liquors (P),1.00
Brian Sengebush,190312,The Knoll Country Club & Catering,1.00
Brian Sengebush,191007,Charley's Tavern,1.00
Brian Sengebush,190214,Johnnie's Tavern,1.00
Brian Sengebush,230411,Cesco's Pizza (P),1.00
Brian Sengebush,190704,Tavern On The Rocks,1.00
Brian Sengebush,230428,O'reilly Pub (P),1.00
Brian Sengebush,190706,Mill Lane Tavern,1.00
Brian Sengebush,1022,The Cheesecake Factory,1.00
Brian Sengebush,190203,Boonton Lanes,1.00
Brian Sengebush,230123,Sparta Lanes (Pino),1.00
Brian Sengebush,230406,Bearbrook Valley,1.00
Brian Sengebush,231606,The Lafayette House,1.00
Brian Sengebush,231713,Flatbrook Tap House (P),1.00
Brian Sengebush,230407,Fountain House (Z),1.00
Brian Sengebush,230405,Sheridan Lodge (P),1.00
Brian Sengebush,231703,AG Pizza and Restaurant (Branchville),1.00
Brian Sengebush,231806,Walpack Inn,1.00
Brian Sengebush,230109,Skyview Golf Course (A),1.00
Brian Sengebush,191718,Bell's Mansion,1.00
