Sales Rep Assigned,Customer Num,Customer Name,Buyer Count   2026
Brian Sengebush,190220,Reservoir Tavern(A),1.00
Brian Sengebush,191505,Mckenna's Pub (P),1.00
Brian Sengebush,190108,Harrigan's Rest. (P),1.00
Brian Sengebush,1017,Millers Ale House Rockawa,1.00
Brian Sengebush,191104,Chapala Grill - Lake Hopatcong,1.00
Chris Payton,47019,Hilton Garden Inn Ridgefield Park,1.00
Chris Payton,81031,Rail Yard Tavern (P),1.00
Chris Payton,35009,Fiesta (A),1.00
Chris Payton,76014,Que Pasta (A),1.00
Chris Payton,80027,Ridgewood Country Club,1.00
Chris Payton,80029,Seoul Galbi,1.00
Chris Payton,80023,Red Lobster Paramus,1.00
Chris Payton,76001,Golden Pub (P),1.00
Chris Payton,80028,El Cid,1.00
Chris Payton,78011,Nanni's (A),1.00
Chris Payton,81017,JJ's Pub,1.00
Chris Payton,47003,Mk Valencia Rest & Lg(P),1.00
Chris Payton,81018,B R C Catering (P),1.00
Chris Payton,76012,Excelsior (Z),1.00
Chris Payton,45005,Colonial Bar,1.00
Chris Payton,80010,Suburban Diner,1.00
Chris Payton,81012,Dutch House,1.00
Chris Payton,80053,Paramus Courtyard,1.00
Chris Payton,47017,Westside Village (A),1.00
Chris Payton,80035,Arcola Country C.,1.00
Chris Politano,31037,Delaware North Met Life Stadium,1.00
Dan Lagala,46030,Elks Post 2475 (Z),1.00
Dan Lagala,49029,Obaltan,1.00
Dan Lagala,44039,Villa Amalfi,1.00
Dan Lagala,49041,WOOGA,1.00
Dan Lagala,49061,Double Tree Hotel Ft Lee,1.00
Dan Lagala,44033,Brass Rail Pub_2,1.00
Dan Lagala,44035,O'Malleys Pub LLC DBA Blackbird Pub,1.00
Dan Lagala,44008,GOGIYA,1.00
Dan Lagala,49048,River Palm (A),1.00
Dan Lagala,44031,Viva La Margarita Cliffside Park,1.00
Dan Lagala,49069,Pho 32,1.00
Dan Lagala,46014,Soosang Hand Pocha,1.00
Dan Lagala,49016,Ipic Theaters,1.00
Dan Lagala,43029,El Tio Taco Ii,1.00
Dan Lagala,44027,354 Steakhouse (A),1.00
Dan Lagala,44028,512 Bar,1.00
Dan Lagala,53001,Brownstone Pancake Factor,1.00
Dan Lagala,53002,Mr Bbq,1.00
Dan Lagala,49012,365 BBQ,1.00
Dan Lagala,53007,Giovanni's Bicycle Club,1.00
Dan Lagala,45015,Tivoli Restaurant,1.00
Dan Lagala,53004,Lefkes Restaurant,1.00
Dan Lagala,49050,Bada Story (Z),1.00
Dan Lagala,49034,In Napoli (A),1.00
Dan Lagala,49076,Raku Izakaya (Z),1.00
Dan Lagala,49083,Courtyard By Marriott Edgewater,1.00
Dan Lagala,53005,Cliffs Steakhouse(A),1.00
Dan Lagala,43019,Cast Iron Pot (A),1.00
Dan Lagala,44017,Frankie's Gastro,1.00
Dan Lagala,49072,JJ Dak,1.00
Dan Lagala,49053,Soho (Z),1.00
Dan Lagala,49057,Gammeeok,1.00
Dan Lagala,49071,Chillers Grill (A),1.00
