account,product_num,cases
8,200803,11
8,200805,7
25,111,-5
25,112,-1
25,121,-8
25,214,-63
25,221,-48
25,412,-1
25,421,-10
25,511,-66
25,521,-95
25,529,-7
25,677,-1
25,693,-4
25,1202,-3
25,1209,-3
25,1222,-1
25,1263,-2
25,1804,-2
25,1806,-3
25,1808,-42
25,1816,-1
25,1820,-3
25,1822,-21
25,1834,-2
25,1870,-2
25,1908,-2
25,2183,-1
25,2405,-28
25,2407,-4
25,2409,-110
25,2412,-1
25,2413,-2
25,2414,-2
25,2416,-6
25,2425,-7
25,2440,-3
25,2442,-1
25,2507,-1
25,2509,-16
25,2510,1
25,2610,-48
25,2611,-2
25,2613,-4
25,2650,-2
25,2651,-1
25,2652,-2
25,2654,-9
25,2807,-10
25,2808,-56
25,2809,-135
25,2811,-6
25,2812,-15
25,2814,-2
25,2815,-1
25,2817,-8
25,2821,-2
25,2832,-4
25,4325,-5
25,4711,1
25,4712,-4
25,4713,-30
25,4717,2
25,4731,-1
25,4735,-1
25,4738,-1
25,4766,-2
25,4914,-2
25,5288,-1
25,6778,-4
25,6993,-3
25,7152,-1
25,7160,-4
25,7270,-2
25,7271,-1
25,7312,-10
25,7313,-26
25,7364,-31
25,7416,-5
25,7935,-1
25,8201,-1
25,8383,-1
25,8385,-2
25,8480,-1
25,8577,-1
25,8581,-2
25,8582,-1
25,8583,-3
25,8607,-2
25,8628,-1
25,8632,-2
25,8633,-1
25,8663,-2
25,8674,-1
25,8852,-3
25,9011,-1
25,9019,-1
25,9054,-1
25,9076,-1
25,9082,-2
25,9410,-1
25,10332,-3
25,10411,-1
25,10601,-1
25,10901,-2
25,11171,-1
25,11223,-2
25,11225,-2
25,12040,-4
25,12813,-1
25,13163,-1
25,13228,-1
25,16706,-1
25,200314,-2
25,200453,-1
25,200454,-5
25,200737,-2
120022,111,1
120022,121,11
120022,201,3
120022,202,2
120022,220,6
120022,221,93
120022,520,1
120022,521,112
120022,522,3
120022,616,1
120022,677,1
120022,694,3
120022,946,1
120022,1051,2
120022,1205,1
120022,1772,2
120022,1816,4
120022,1834,1
120022,2401,1
120022,2407,7
120022,2410,65
120022,2412,5
120022,2425,1
120022,2428,5
120022,2440,2
120022,2507,4
120022,2610,2
120022,2613,1
120022,2809,35
120022,2811,4
120022,3724,2
120022,3842,3
120022,4031,2
120022,4039,1
120022,4042,1
120022,4701,2
120022,4710,2
120022,4716,10
120022,4735,25
120022,4765,1
120022,4869,1
120022,5327,15
120022,5334,5
120022,5574,1
120022,6981,2
120022,6987,2
120022,6989,1
120022,7143,3
120022,7144,1
120022,7304,2
120022,7313,1
120022,7797,1
120022,7798,1
120022,7824,1
120022,7905,2
120022,7910,2
120022,7916,1
120022,7925,2
120022,7935,2
120022,7937,2
120022,7938,2
120022,7978,2
120022,8102,1
120022,8121,2
120022,8231,1
120022,8341,25
120022,8345,1
120022,8410,1
120022,8414,1
120022,8580,1
120022,8583,30
120022,8647,2
120022,8671,2
120022,8672,1
120022,8710,1
120022,8720,1
120022,9411,1
120022,9461,2
120022,9465,2
120022,9467,2
120022,9469,2
120022,9498,1
120022,9499,6
120022,10332,1
120022,10335,1
120022,10337,1
120022,10904,1
120022,10937,1
120022,11102,1
120022,11265,1
120022,11711,2
120022,12149,1
120022,12152,-4
120022,12902,1
120022,13112,15
120022,13123,1
120022,13145,7
120022,13146,1
120022,13147,1
120022,13149,1
120022,13156,4
120022,13166,1
120022,13203,1
120022,13219,1
120022,13225,1
120022,20205,15
120022,30001,1
120022,30004,1
120022,81003,1
120022,81004,1
120022,91011,1
120022,94010,3
120022,94011,3
120022,94012,4
120022,94013,4
120022,94015,1
120022,94018,2
120022,94021,3
120022,94022,3
120022,94033,3
120022,200203,5
120022,200271,7
120022,200272,5
120022,200273,6
120022,200274,5
120022,200275,6
120022,200276,3
120022,200357,1
120022,200374,1
120022,200375,1
120022,200583,29
120022,200608,3
120022,200631,42
120022,200632,7
120022,200633,6
120022,200634,8
120022,200636,5
120022,200637,5
120022,200664,18
120022,200665,6
120022,200738,2
120022,200805,5
120022,200904,5
120022,200905,5
120022,200907,5
120022,201051,0.5
120022,201054,0.5
120022,201056,0.5
120022,201058,0.5
