Customer Num,Customer Name,Area,Shipping Address,City,Date,Sales Rep Name,District Manager Name,Brand,Brand Family,Supplier,Units   2026
61004,Andiamo,Bergen,23 Hardenburgh Ave,Haworth,8/25/2026,Paul Mclaughlin,Chris McCrohan,Peroni,Peroni,MolsonCoors Beverage Company,-1.00
150014,Tierney's Tavern(A),Essex,138 Valley Road,Montclair,8/25/2026,Paul Mclaughlin,Chris McCrohan,Montauk Wave Chaser IPA,Montauk,Montauk Brewing Co,1.00
31039,Yard House 8390,Bergen,1 American Dream Way,East Rutherford,8/25/2026,Nick Melissari,Chris McCrohan,Peroni,Peroni,MolsonCoors Beverage Company,1.00
152037,The Deep Inn,Essex,60 Pulaski St,Newark,8/25/2026,Alisa Acciardi,Mike Kennedy,Evil Genius Stacy's Mom,Evil Genius,Evil Genius,1.00
170282,The Hoboken Biergarten,Hudson,1422 Grand Street,Hoboken,8/25/2026,Jaime Colonna,Mike Kennedy,Paulaner Oktoberfest,Paulaner,Paulaner,4.00
31026,Rockafella's,Bergen,443 Paterson Aven,East Rutherford,8/25/2026,Nick Melissari,Chris McCrohan,Yuengling Lager,Yuengling Lager,DG Yuengling Inc,1.00
170282,The Hoboken Biergarten,Hudson,1422 Grand Street,Hoboken,8/25/2026,Jaime Colonna,Mike Kennedy,Hacker-Pschorr Oktoberfest,Hacker-Pschorr,Paulaner,4.00
24019,Sharky's Wings(P),Passaic,545 Highland Ave,Clifton,8/25/2026,Allison Scott,Chris McCrohan,Modelo Especial,Modelo Especial,Constellation Brands,2.00
12047,American Lgn 174 Wayne,Passaic,55 Mountain View Blvd,Wayne,8/25/2026,Robin Feldman,Chris McCrohan,Yuengling Flight,Yuengling Flight,DG Yuengling Inc,1.00
60004,La Taberna Steak House,Bergen,31 W Madison Ave,Dumont,8/25/2026,Paul Mclaughlin,Chris McCrohan,Dos Equis Lager Especial,Dos Equis,Heineken USA,1.00
191007,Charley's Tavern,Morris 1,57 NJ-181,Lake Hopatcong,8/25/2026,Brian Sengebush,Chris McCrohan,Samuel Adams Octoberfest Seasonal Beer,Samuel Adams,Boston Beer Company,1.00
