Asset ID,Purchase,Asset Type,Asset Description,Asset Num,Serial Num,Status,Location,Bin,Cost,Remaining Value,Placed in Service Date,Customer,Time Confirmed,Purchased Date,Sold Date,Asset Owner
18102,,*DD* Coors Light Tailgate Chair,*DD* Coors Light Tailgate Chair,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18101,,*DD* Coors Light Tailgate Chair,*DD* Coors Light Tailgate Chair,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18100,,*DD* Coors Light Tailgate Chair,*DD* Coors Light Tailgate Chair,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18099,,*DD* Coors Light Tailgate Chair,*DD* Coors Light Tailgate Chair,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18098,,*DD* Coors Light Tailgate Chair,*DD* Coors Light Tailgate Chair,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18097,,*DD* Coors Light Tailgate Chair,*DD* Coors Light Tailgate Chair,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18096,,*DD* Coors Light Tailgate Chair,*DD* Coors Light Tailgate Chair,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18095,,*DD* Coors Light Tailgate Chair,*DD* Coors Light Tailgate Chair,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18094,,*DD* Coors Light Tailgate Chair,*DD* Coors Light Tailgate Chair,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18093,,*DD* Coors Light Tailgate Chair,*DD* Coors Light Tailgate Chair,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18092,,*DD* Coors Light Tailgate Chair,*DD* Coors Light Tailgate Chair,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18091,,*DD* Coors Light Tailgate Chair,*DD* Coors Light Tailgate Chair,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18090,,*DD* Coors Light Tailgate Chair,*DD* Coors Light Tailgate Chair,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18089,,*DD* Coors Light Tailgate Chair,*DD* Coors Light Tailgate Chair,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18088,,*DD* Coors Light Tailgate Chair,*DD* Coors Light Tailgate Chair,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18087,,*DD* Coors Light Tailgate Chair,*DD* Coors Light Tailgate Chair,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18086,,*DD* Coors Light Tailgate Chair,*DD* Coors Light Tailgate Chair,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18085,,*DD* Coors Light Tailgate Chair,*DD* Coors Light Tailgate Chair,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18084,,*DD* Coors Light Tailgate Chair,*DD* Coors Light Tailgate Chair,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18083,,*DD* Coors Light Tailgate Chair,*DD* Coors Light Tailgate Chair,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18081,,*SH* Modelo Giants Tailgate Chair,*SH* Modelo Giants Tailgate Chair,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18080,,*SH* Modelo Giants Tailgate Chair,*SH* Modelo Giants Tailgate Chair,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18079,,*SH* Modelo Giants Tailgate Chair,*SH* Modelo Giants Tailgate Chair,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18078,,*SH* Modelo Giants Tailgate Chair,*SH* Modelo Giants Tailgate Chair,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18077,,*SH* Modelo Giants Tailgate Chair,*SH* Modelo Giants Tailgate Chair,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18076,,*SH* Modelo Giants Tailgate Chair,*SH* Modelo Giants Tailgate Chair,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18075,,*SH* Modelo Giants Tailgate Chair,*SH* Modelo Giants Tailgate Chair,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18074,,*SH* Modelo Giants Tailgate Chair,*SH* Modelo Giants Tailgate Chair,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18073,,*SH* Modelo Giants Tailgate Chair,*SH* Modelo Giants Tailgate Chair,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18072,,*SH* Modelo Giants Tailgate Chair,*SH* Modelo Giants Tailgate Chair,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18071,,*SH* Modelo Giants Tailgate Chair,*SH* Modelo Giants Tailgate Chair,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18070,,*SH* Modelo Giants Tailgate Chair,*SH* Modelo Giants Tailgate Chair,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18069,,*SH* Modelo Giants Tailgate Chair,*SH* Modelo Giants Tailgate Chair,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18068,,*SH* Modelo Giants Tailgate Chair,*SH* Modelo Giants Tailgate Chair,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18067,,*SH* Modelo Giants Tailgate Chair,*SH* Modelo Giants Tailgate Chair,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18066,,*SH* Modelo Giants Tailgate Chair,*SH* Modelo Giants Tailgate Chair,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18065,,*SH* Modelo Giants Tailgate Chair,*SH* Modelo Giants Tailgate Chair,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18064,,*SH* Modelo Giants Tailgate Chair,*SH* Modelo Giants Tailgate Chair,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18063,,*SH* Modelo Giants Tailgate Chair,*SH* Modelo Giants Tailgate Chair,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18062,,*SH* Modelo Giants Tailgate Chair,*SH* Modelo Giants Tailgate Chair,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18061,,*SH* Modelo Giants Tailgate Chair,*SH* Modelo Giants Tailgate Chair,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18060,,*SH* Modelo Giants Tailgate Chair,*SH* Modelo Giants Tailgate Chair,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18059,,*SH* Modelo Giants Tailgate Chair,*SH* Modelo Giants Tailgate Chair,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18058,,*SH* Modelo Giants Tailgate Chair,*SH* Modelo Giants Tailgate Chair,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18056,,(TG)Hofbrau Mug 0.5 Liter - GLASSES,(TG)Hofbrau Mug 0.5 Liter - GLASSES,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18055,,(TG)Hofbrau Mug 0.5 Liter - GLASSES,(TG)Hofbrau Mug 0.5 Liter - GLASSES,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18054,,(TG)Hofbrau Mug 0.5 Liter - GLASSES,(TG)Hofbrau Mug 0.5 Liter - GLASSES,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18053,,(TG)Hofbrau Mug 0.5 Liter - GLASSES,(TG)Hofbrau Mug 0.5 Liter - GLASSES,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18052,,(TG)Hofbrau Mug 0.5 Liter - GLASSES,(TG)Hofbrau Mug 0.5 Liter - GLASSES,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18051,,(TG)Hofbrau Mug 0.5 Liter - GLASSES,(TG)Hofbrau Mug 0.5 Liter - GLASSES,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18050,,(TG)Hofbrau Mug 0.5 Liter - GLASSES,(TG)Hofbrau Mug 0.5 Liter - GLASSES,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18049,,(TG)Hofbrau Mug 0.5 Liter - GLASSES,(TG)Hofbrau Mug 0.5 Liter - GLASSES,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18048,,(TG)Hofbrau Mug 0.5 Liter - GLASSES,(TG)Hofbrau Mug 0.5 Liter - GLASSES,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18047,,(TG)Hofbrau Mug 0.5 Liter - GLASSES,(TG)Hofbrau Mug 0.5 Liter - GLASSES,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18046,,(TG)Hofbrau Mug 0.5 Liter - GLASSES,(TG)Hofbrau Mug 0.5 Liter - GLASSES,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18045,,(TG)Hofbrau Mug 0.5 Liter - GLASSES,(TG)Hofbrau Mug 0.5 Liter - GLASSES,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18044,,(TG)Hofbrau Mug 0.5 Liter - GLASSES,(TG)Hofbrau Mug 0.5 Liter - GLASSES,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18043,,(TG)Hofbrau Mug 0.5 Liter - GLASSES,(TG)Hofbrau Mug 0.5 Liter - GLASSES,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18042,,(TG)Hofbrau Mug 0.5 Liter - GLASSES,(TG)Hofbrau Mug 0.5 Liter - GLASSES,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18041,,*CP* Angry Orchard Scream 16oz shaker,*CP* Angry Orchard Scream 16oz shaker,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18040,,*CP* Angry Orchard Scream 16oz shaker,*CP* Angry Orchard Scream 16oz shaker,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18039,,*CP* Angry Orchard Scream 16oz shaker,*CP* Angry Orchard Scream 16oz shaker,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18038,,*CP* Angry Orchard Scream 16oz shaker,*CP* Angry Orchard Scream 16oz shaker,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18037,,*CP* Angry Orchard Scream 16oz shaker,*CP* Angry Orchard Scream 16oz shaker,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18036,,*CP* Angry Orchard Scream 16oz shaker,*CP* Angry Orchard Scream 16oz shaker,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18035,,*CP* Angry Orchard Scream 16oz shaker,*CP* Angry Orchard Scream 16oz shaker,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18034,,*CP* Angry Orchard Scream 16oz shaker,*CP* Angry Orchard Scream 16oz shaker,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18033,,*CP* Angry Orchard Scream 16oz shaker,*CP* Angry Orchard Scream 16oz shaker,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18032,,*CP* Angry Orchard Scream 16oz shaker,*CP* Angry Orchard Scream 16oz shaker,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18026,,Pacifico Yappy Hour 16oz shaker,Pacifico Yappy Hour 16oz shaker,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18025,,Pacifico Yappy Hour 16oz shaker,Pacifico Yappy Hour 16oz shaker,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18024,,Pacifico Yappy Hour 16oz shaker,Pacifico Yappy Hour 16oz shaker,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
