Asset Request ID,Asset Type,Asset,Brand,Program,Location,Task ID,Delivery Date,BrandFamily,Supplier,Time Updated,Updated By,Time Created,Created By
12153,(CM)Coors Light 16oz Cups - PLASTIC CUPS,16807,Coors Light,,Hawthorne,7851355,7/14/2026,Coors Light,MolsonCoors Beverage Company,7/14/2026 7:51 AM,chrishope,7/13/2026 7:55 PM,allisonscott
12152,*CP* Carbliss Patio Umbrella,17574,Carbliss Black Cherry,,Hawthorne,7851354,7/14/2026,Carbliss,SN Food & Beverage LLC,7/14/2026 11:52 AM,chrishope,7/13/2026 7:51 PM,allisonscott
12151,*CP* Carbliss Patio Umbrella,17573,Carbliss Black Cherry,,Hawthorne,7851353,7/14/2026,Carbliss,SN Food & Beverage LLC,7/14/2026 11:52 AM,chrishope,7/13/2026 7:51 PM,allisonscott
12150,*CP* Carbliss Patio Umbrella,17572,Carbliss Black Cherry,,Hawthorne,7851352,7/14/2026,Carbliss,SN Food & Beverage LLC,7/14/2026 11:52 AM,chrishope,7/13/2026 7:51 PM,allisonscott
12149,*CP* Carbliss Patio Umbrella,17571,Carbliss Black Cherry,,Hawthorne,7851351,7/14/2026,Carbliss,SN Food & Beverage LLC,7/14/2026 11:52 AM,chrishope,7/13/2026 7:51 PM,allisonscott
12148,Coors Light 16oz Shaker - Glasses,13128,Coors Light,,Hawthorne,7851350,7/14/2026,Coors Light,MolsonCoors Beverage Company,7/14/2026 7:52 AM,chrishope,7/13/2026 7:51 PM,allisonscott
12147,Coors Light 16oz Shaker - Glasses,13127,Coors Light,,Hawthorne,7851349,7/14/2026,Coors Light,MolsonCoors Beverage Company,7/14/2026 7:52 AM,chrishope,7/13/2026 7:51 PM,allisonscott
12146,*CP* Suncruiser Beach Chair,15776,Sun Cruiser Classic Iced Tea,,Hawthorne,7851348,7/14/2026,Sun Cruiser,Boston Beer Company,7/14/2026 7:51 AM,chrishope,7/13/2026 7:51 PM,allisonscott
12145,Modelo 16oz Shaker - Glasses,12539,Modelo Especial,,Hawthorne,7851347,7/14/2026,Modelo Especial,Constellation Brands,7/14/2026 7:52 AM,chrishope,7/13/2026 7:51 PM,allisonscott
12144,Modelo 16oz Shaker - Glasses,12538,Modelo Especial,,Hawthorne,7851346,7/14/2026,Modelo Especial,Constellation Brands,7/14/2026 7:52 AM,chrishope,7/13/2026 7:51 PM,allisonscott
12143,Modelo 16oz Shaker - Glasses,12537,Modelo Especial,,Hawthorne,7851345,7/14/2026,Modelo Especial,Constellation Brands,7/14/2026 7:52 AM,chrishope,7/13/2026 7:47 PM,allisonscott
12142,Modelo 16oz Shaker - Glasses,12536,Modelo Especial,,Hawthorne,7851344,7/14/2026,Modelo Especial,Constellation Brands,7/14/2026 7:52 AM,chrishope,7/13/2026 7:47 PM,allisonscott
12141,Miller Lite 16oz shaker - Glasses,12985,Miller Lite,,Hawthorne,7850751,7/14/2026,Lite,MolsonCoors Beverage Company,7/14/2026 7:52 AM,chrishope,7/13/2026 4:37 PM,allisonscott
12140,Miller Lite 16oz shaker - Glasses,12984,Miller Lite,,Hawthorne,7850750,7/14/2026,Lite,MolsonCoors Beverage Company,7/14/2026 7:52 AM,chrishope,7/13/2026 4:37 PM,allisonscott
12139,(CM)Coors Light 16oz Cups - PLASTIC CUPS,16806,Coors Light,,Hawthorne,7850745,7/14/2026,Coors Light,MolsonCoors Beverage Company,7/14/2026 7:51 AM,chrishope,7/13/2026 3:48 PM,allisonscott
12138,*CP* Suncruiser Beach Wagon,15749,Sun Cruiser Classic Iced Tea,,Hawthorne,7850718,7/14/2026,Sun Cruiser,Boston Beer Company,7/14/2026 7:51 AM,chrishope,7/13/2026 3:29 PM,chrispayton
