Sales Rep Assigned,Customer Num,Customer Name,Shipping Address,City,County,Distribution Area,Buyer Count   2026,Cases   2026
Dylan Rubino,178014,Best Liquors (P),4100 Park Ave(Store 12),Weehawken,Hudson,Hudson,1.00,246.00
Dylan Rubino,170072,Jersey Farm & Liquors,2983 Kennedy Blvd,Jersey City,Hudson,Hudson,1.00,244.00
Andrew Lundy,250441,Southwood Liquors,928 South Wood Ave,Linden,Union,Union,1.00,244.00
Dylan Rubino,171405,Waterfront Wine & Liq(P),81 Montgomery Street,Jersey City,Hudson,Hudson,1.00,243.00
Dylan Rubino,170063,Boulevard Mart & Liq (A),2708 John F. Kennedy Blvd,Jersey City,Hudson,Hudson,1.00,242.00
Alisa Acciardi,150129,White Oaks Liquors,418 Union Ave,Belleville,Essex,Essex,1.00,240.00
Alisa Acciardi,150128,C & I Liquors(Superfresh),165 Belmont Ave,Belleville,Essex,Essex,1.00,240.00
Hakan Sadik,150638,New Silver Key Liq Ii,263 Springfield Ave,Newark,Essex,Essex,1.00,239.00
Alisa Acciardi,170210,Eddy's Wine & Liq,490 Avenue C,Bayonne,Hudson,Hudson,1.00,239.00
Hakan Sadik,150145,Wine 2 Spirits,696-704 Mt.Prospect Ave,Newark,Essex,Essex,1.00,237.00
Hakan Sadik,150226,Silver Wine & Liquor,51 Central Ave,East Orange,Essex,Essex,1.00,237.00
Dylan Rubino,178015,Noble Discount Liquors,4702 Park Ave,Weehawken,Hudson,Hudson,1.00,234.00
Alex Rodriguez,250020,Rick's Wines & Liquors,1140 South Avenue,Plainfield,Union,Union,1.00,234.00
Michael Harboy,150041,A&M Liquor,517 Bloomfield Ave,Montclair,Essex,Essex,1.00,234.00
Hakan Sadik,150066,New Home Liquor,458-64 Rosevile Ave,Newark,Essex,Essex,1.00,233.00
Andrew Lundy,250170,D&R Liquor,1120 Liberty Ave,Hillside,Union,Union,1.00,233.00
Michael Harboy,150036,Romany Liquor Shop (A),227 Glenridge Avenue,Montclair,Essex,Essex,1.00,233.00
Alisa Acciardi,150131,Lbv Cellars,266 Chestnut St,Newark,Essex,Essex,1.00,231.00
Dylan Rubino,170034,Metro Liquors (1212 Jersey City),1212 Summit Avenue,Jersey City,Hudson,Hudson,1.00,229.00
Hakan Sadik,150673,Krauszer's Food & Wines,649 18th Ave,Irvington,Essex,Essex,1.00,225.00
Hakan Sadik,152017,Pennsylvania Liquors,61 Pennsylvania Ave,Newark,Essex,Essex,1.00,225.00
Dylan Rubino,170218,HD Liquors,6714 Park Ave,Guttenberg,Hudson,Hudson,1.00,225.00
Alisa Acciardi,150038,Pioneer Wine's & Liquors,652 Joralemon Street,Belleville,Essex,Essex,1.00,224.00
Jaime Colonna,170037,Willow Grocery Liq.,841 Willow Ave (9th),Hoboken,Hudson,Hudson,1.00,224.00
Andrew Lundy,250084,Parkway Liquors(P),870 Boulevard,Kenilworth,Union,Union,1.00,224.00
Jaime Colonna,17026,Wine Dad's Jersey City,273 16th St.,Jersey City,Hudson,Hudson,1.00,220.00
Hakan Sadik,152008,Chancellor Newark,423 Chancellor Ave,Newark,Essex,Essex,1.00,219.00
Hakan Sadik,150646,Tonys Liquors #2,401 Clinton Ave,Newark,Essex,Essex,1.00,218.00
Alisa Acciardi,150020,Gallaghers Wine & Cheese,559 Bloomfield Ave,Bloomfield,Essex,Essex,1.00,218.00
Hakan Sadik,150637,Mayfair Wine & Liquors,1014 South Orange Ave,Newark,Essex,Essex,1.00,218.00
Michael Harboy,150628,Don's Wine & Liq(P),53 Washington St,West Orange,Essex,Essex,1.00,218.00
Alex Rodriguez,150155,L Town Liquors,214 N. Livingston Ave,Livingston,Essex,Essex,1.00,217.00
Hakan Sadik,152032,Avenue Liquors,208 Bloomfield Ave,Newark,Essex,Essex,1.00,217.00
