Sales Rep Assigned,Customer Num,Customer Name,Shipping Address,City,County,Distribution Area,Buyer Count   2026,Cases   2026
Jim Heaney,24016,Broad Liquors (A),1187 Broad Street,Clifton,Passaic,Passaic,1.00,12801.00
Pablo Lopez,27072,Passaic Discount Liquors,49 Market St,Passaic,Passaic,Passaic,1.00,12729.00
Pablo Lopez,26014,Regalado Liq,168 Market St,Passaic,Passaic,Passaic,1.00,12723.00
Pablo Lopez,27043,Monroe Wine & Liq(P),199 Monroe St,Passaic,Passaic,Passaic,1.00,12594.00
Dan Lagala,49045,Liquor World,1475 Bergen Blvd,Fort Lee,Bergen,Bergen,1.00,12473.00
Pablo Lopez,27069,Broadway W&L,62 Broadway,Passaic,Passaic,Passaic,1.00,12334.00
Pablo Lopez,27066,Sunny's Liqs.(P),413 Monroe St,Passaic,Passaic,Passaic,1.00,12069.00
Michael Harboy,12005,Shay's Liquors,1166 Hamburg Tnpk,Wayne,Passaic,Passaic,1.00,12054.83
Derrick Laws,21048,Ferraro's Liquor,423 21st Avenue,Paterson,Passaic,Passaic,1.00,11999.50
Shane Barreca,75004,Cork & Keg (A),89 Kinderkamack Rd,Emerson,Bergen,Bergen,1.00,11978.17
Jayson Romine,191526,Liquor Factory IV Hopatcong,128 Lakeside Blvd,Hopatcong,Sussex,Sussex,1.00,11934.00
Mike Ast,17011,Nico's Wine & Spirits,408 Haledon Ave,Haledon,Passaic,Passaic,1.00,11913.17
Klejdi Lamo,191606,Quick Check Liquor (A),70 Main St,Netcong,Morris,Morris 1,1.00,11861.65
Javier Melo,20021,Diamond Liquors (P),507 Summer St,Paterson,Passaic,Passaic,1.00,11857.00
Javier Melo,27040,Danny's Liquor,268 Monroe St,Passaic,Passaic,Passaic,1.00,11699.00
Michael Harboy,11001,Lincoln Center Liq,261 Comly Road,Lincoln Park,Morris,Morris 3,1.00,11632.64
Derrick Laws,15012,Pal's Liquor,241 Union Ave,Paterson,Passaic,Passaic,1.00,11623.00
Javier Melo,27012,ESTEVEZ LIQUORS LLC,110 Market St,Passaic,Passaic,Passaic,1.00,11618.00
Chris Payton,23006,46 Discount Liquor Store,519 Rt 46e (Piaget Ave),Clifton,Passaic,Passaic,1.00,11594.00
Dan Lagala,44016,Liquor City(A)Cliffside,494 Anderson Ave,Cliffside Park,Bergen,Bergen,1.00,11521.00
Jim Heaney,28012,Lucky 7 (A),77 River Rd,North Arlington,Bergen,Bergen,1.00,11499.83
Matt Powierski,36007,Shop Rite Of Wallington,375 Paterson Ave,Wallington,Bergen,Bergen,1.00,11492.17
Javier Melo,21023,Luna Liquors,291 Park Avenue,Paterson,Passaic,Passaic,1.00,11399.00
Anthony Palmisano,3001,Best Cellars (Wanaque),1069 Ringwood Ave,Wanaque,Passaic,Passaic-FF,1.00,11357.17
Matt Powierski,37068,Whoopee Liq (A),194 Van Winkle Ave,Garfield,Bergen,Bergen,1.00,11335.33
Javier Melo,27037,Shanik Liqs.(P),952 Main Ave,Passaic,Passaic,Passaic,1.00,11287.00
Derrick Laws,20005,La Sorpresa Liq (P),115 4th Ave,Paterson,Passaic,Passaic,1.00,11157.00
Jim Heaney,24017,Rainbow Liquor (P),292 Lakeview Ave,Clifton,Passaic,Passaic,1.00,11147.17
Phil Ernst,80005,Shop Rite Liq (Paramus),224 Rt 4 E,Paramus,Bergen,Bergen,1.00,11134.00
Derrick Laws,20079,Limestone Liquors (A),349 Union Ave,Paterson,Passaic,Passaic,1.00,11133.00
Chris Payton,35001,Westmont Liquors 64,611 Avalon Drive,Woodridge,Bergen,Bergen,1.00,11036.75
Phil Ernst,43001,City Supermarket,289 Bergen Blvd,Fairview,Bergen,Bergen,1.00,11028.00
Matt Powierski,77016,Metro Liquor (Elmwood Park),100 Broadway,Elmwood Park,Bergen,Bergen,1.00,11002.00
Phil Ernst,80026,Stew Leonard's(A) Paramus Wine,700 Paramus Park,Paramus,Bergen,Bergen,1.00,10822.00
Chris Payton,47005,Exquisite W & L (A),215 Main St,Ridgefield Park,Bergen,Bergen,1.00,10812.50
Chris Payton,38021,Buy Rite Of Main St Lodi,449 Main St,Lodi,Bergen,Bergen,1.00,10446.67
Dan Lagala,43005,Rome Liquors (Fairview),174 Anderson Ave,Fairview,Bergen,Bergen,1.00,10396.67
Derrick Laws,15023,Santana's Sport(P)Bella,215 Market St,Paterson,Passaic,Passaic,1.00,10374.75
Dan Lagala,44005,Winston Wine & Liq,659 Palisade Ave,Cliffside Park,Bergen,Bergen,1.00,10303.35
Pablo Lopez,27021,Johnny's Liqs (P),370 Monroe St,Passaic,Passaic,Passaic,1.00,10190.00
Dan Lagala,43006,Fairview Liq & Groc.(A),36 Anderson Avenue,Fairview,Bergen,Bergen,1.00,10173.00
Phil Ernst,83001,Food Universe Marketplace,937 Lincoln Ave,Glen Rock,Bergen,Bergen,1.00,10135.17
Jayson Romine,231203,The George Inn,84 NJ-94,Vernon,Sussex,Sussex,1.00,10126.00
Dan Lagala,43004,Boulevard Liq.(Fairview),153 Bergen Blvd,Fairview,Bergen,Bergen,1.00,10122.00
Anthony Palmisano,5001,River Place Food Store,1284 Rt. 23,Butler,Morris,Morris 3,1.00,10087.15
Derrick Laws,20080,Raphael & Angel Liq (A),390 Main St,Paterson,Passaic,Passaic,1.00,9958.00
Javier Melo,20056,East Side Bar Liquors,442 10th Ave,Paterson,Passaic,Passaic,1.00,9821.00
Jayson Romine,230314,Liquor Factory V Andover,231 Newton Sparta Rd # 3,Newton,Sussex,Sussex,1.00,9806.00
Derrick Laws,15013,El Oasis,450 Union Ave,Paterson,Passaic,Passaic,1.00,9646.00
Klejdi Lamo,190304,Shoppers Disc Liquor,65-69 N Beverwyck Rd,Lake Hiawatha,Morris,Morris 1,1.00,9603.67
Jayson Romine,191702,Liquor Factory VI Byram,8 Route 206 N,Byram,Sussex,Morris 1,1.00,9588.00
Derrick Laws,20027,230 Liq & Groc.(A),230 Rosa Parks Blvd,Paterson,Passaic,Passaic,1.00,9584.00
Michael Harboy,12017,Shays Liquors,1489 NJ-23,Wayne,Passaic,Passaic,1.00,9552.00
Javier Melo,27008,Bermuda Liquors (P),177 Hope Ave,Passaic,Passaic,Passaic,1.00,9445.00
Anthony Palmisano,1015,Greenwood Lake Disc.(P),2019 Greenwood Lake Tpk,Hewitt,Passaic,Passaic-FF,1.00,9370.33
Klejdi Lamo,190705,Rockaway W/L,73 W Main St,Rockaway,Morris,Morris 1,1.00,9358.00
Jim Heaney,27016,Marina's Wine & Spirits,497 Van Houten Ave,Passaic,Passaic,Passaic,1.00,9272.94
Matt Powierski,27063,Archies (P),229 Main Ave,Passaic,Passaic,Passaic,1.00,9268.00
Klejdi Lamo,191608,Shop-Rite(A) Netcong,75 Us-46 Lackawanna Plaza,Netcong,Morris,Morris 1,1.00,9256.00
Mike Ast,93003,Mahwah Liqrs (P),139 Franklin Tpk,Mahwah,Bergen,Bergen,1.00,9234.17
Derrick Laws,21045,Dorta Liquor (A),353 21st Ave,Paterson,Passaic,Passaic,1.00,9141.00
Phil Ernst,25010,Stew Leonard's Wines & Spirits of Clifton,467 Allwood Rd,Clifton,Passaic,Passaic,1.00,9016.00
Anthony Palmisano,2003,Ringwood W&L,130 Skyline Drive,Ringwood,Passaic,Passaic-FF,1.00,8930.00
Matt Powierski,31004,Metro Liquors (East Rutherford),576 Paterson Ave,East Rutherford,Bergen,Bergen,1.00,8889.50
Chris Payton,38040,Buy Rite Discount Liquor,183 Route 46 West,Lodi,Bergen,Bergen,1.00,8886.17
Klejdi Lamo,191511,Nova Liquors,49 Lakeside Blvd,Hopatcong,Sussex,Sussex,1.00,8813.89
Jim Heaney,25017,Savers Club Liquor Locker,314 Clifton Ave,Clifton,Passaic,Passaic,1.00,8772.00
Jayson Romine,191302,Liquor Factory I Landing,175 Lakeside Blvd # 9,Landing,Morris,Morris 1,1.00,8717.00
Mike Ast,18001,Grand Opening Liq (A)_2,1068 High Mountain Road,North Haledon,Passaic,Passaic,1.00,8697.00
Jayson Romine,231308,Wantage Plaza Liq Outlet,205 NJ-23,Wantage,Sussex,Sussex,1.00,8658.00
Chris Payton,25034,Figlar's (P),327 Hope Ave,Clifton,Passaic,Passaic,1.00,8657.00
Anthony Palmisano,8007,Krauszer's Liquor Wine and Spirits,714-716 Hamburg Tpke,Pompton Lakes,Passaic,Passaic,1.00,8619.00
Jayson Romine,230420,Spring Street Liquors,110 Spring Street,Newton,Sussex,Sussex,1.00,8560.00
Jim Heaney,13008,Little Falls Liq(P),315 Main Street,Little Falls,Passaic,Passaic,1.00,8533.17
Shane Barreca,75002,Shop Rite Liq (A)Emerson,425 Old Hook Rd,Emerson,Bergen,Bergen,1.00,8480.00
Anthony Palmisano,4005,Turnpike Discount Liquors,139 Hamburg Turnpike,Bloomingdale,Passaic,Passaic,1.00,8460.00
Dan Lagala,49027,Linwood Wine-Linwood Plaza,102 Linwood Plaza,Fort Lee,Bergen,Bergen,1.00,8416.83
Jim Heaney,30003,Mason's Cellar (A),32 Ames Ave,Rutherford,Bergen,Bergen,1.00,8409.70
Shane Barreca,74005,Winemart Discount,700 Broadway Suite 42,Westwood,Bergen,Bergen,1.00,8310.67
Dave Ehlers,52019,W E Beverage (A),91 W Palisade Ave,Englewood,Bergen,Bergen,1.00,8230.00
Dave Ehlers,56013,Time Lounge And Liq (A),487-489 S Washington Ave,Bergenfield,Bergen,Bergen,1.00,8184.00
Pablo Lopez,27005,#1 Liqrs (P),130 Howe Ave,Passaic,Passaic,Passaic,1.00,8006.00
Phil Ernst,39001,Home Wines & Liq 75 (A) (South Hackensack),75 Saddle River Ave,South Hackensac,Bergen,Bergen,1.00,8001.00
Anthony Palmisano,10003,Buy Rite W &L Pompton(P),500 NJ-23,Pompton Plains,Morris,Morris 3,1.00,7904.00
Dave Ehlers,40004,Simple Simon's (Z),337 Essex St,Hackensack,Bergen,Bergen,1.00,7858.00
Javier Melo,21026,C Town Supermarket(P),444 20th Avenue,Paterson,Passaic,Passaic,1.00,7701.00
Matt Powierski,31060,Bottle Republic (Rutherford),10 NJ-17,Rutherford,Bergen,Bergen,1.00,7676.00
Brian Sengebush,191003,Chabons Ii Liq/Bar (A),138 Esponong Rd,Lake Hopatcong,Morris,Morris 1,1.00,7664.00
Dan Lagala,44040,Stop N Go Conven. (P),81 Palisade Ave,Cliffside Park,Bergen,Bergen,1.00,7595.00
