Sales Rep Assigned,Customer Num,Customer Name,Shipping Address,Distribution Area,County,City,Area,Premise,Buyer Count   2026,Cases   2026
John O'Donoghue,190330,Parkside Tavern,9 Speedwell Ave,Morris 2,Morris,Morristown,Morris 2,On Premise,1,145.00
John O'Donoghue,190230,Stirling Hotel,227 Main Ave,Morris 2,Morris,Stirling,Morris 2,On Premise,1,9.00
Alex Rodriguez,150012,Kings Super Markets,778 Morris Turnpike,Essex,Essex,Short Hills,Essex,Off Premise,1.00,305.00
Alex Rodriguez,150118,Wine Legend,277 Eisenhower Pkwy,Essex,Essex,Livingston,Essex,Off Premise,1.00,269.00
Alex Rodriguez,150153,Wine Depot Of Livingston,603 S Livingston Ave,Essex,Essex,Livingston,Essex,Off Premise,1.00,131.33
Alex Rodriguez,150155,L Town Liquors,214 N. Livingston Ave,Essex,Essex,Livingston,Essex,Off Premise,1.00,217.00
Alex Rodriguez,150609,Home Liquors(465 Newark),465 Orange St,Essex,Essex,Newark,Essex,Off Premise,1.00,207.00
Alex Rodriguez,150641,Otg Management Ewr,1 Terminal C Newark Liberty or,Essex,Essex,Newark,Essex,On Premise,1.00,266.00
Alex Rodriguez,250020,Rick's Wines & Liquors,1140 South Avenue,Union,Union,Plainfield,Union,Off Premise,1.00,234.00
Alex Rodriguez,250036,Watchung Liquor (P),131 Park Ave,Union,Union,Plainfield,Union,Off Premise,1.00,17772.35
Alex Rodriguez,250043,Nugents Tavern (P),844 Newark Ave,Union,Union,Elizabeth,Union,On Premise,1.00,383.00
Alex Rodriguez,250047,Wine Cellar,808 Spring Street,Union,Union,Elizabeth,Union,Off Premise,1.00,167.00
Alex Rodriguez,250049,New Seaport Liquors,184 3rd St,Union,Union,Elizabeth,Union,Off Premise,1.00,469.00
Alex Rodriguez,250053,Liquor Basics,585 Raritan Road,Union,Union,Roselle,Union,Off Premise,1.00,147.00
Alex Rodriguez,250054,Marte Liq Warehouse,929 Elizabeth Ave,Union,Union,Elizabeth,Union,Off Premise,1.00,49.00
Alex Rodriguez,250056,Continental Wine/Liq,840 Elizabeth Ave,Union,Union,Elizabeth,Union,Off Premise,1.00,166.00
Alex Rodriguez,250059,Payless Liquor,1041 Elizabeth Ave,Union,Union,Elizabeth,Union,Off Premise,1.00,119.00
Alex Rodriguez,250068,Jakob Liquors,1114-1126 Elizabeth Ave,Union,Union,Elizabeth,Union,Off Premise,1.00,284.00
Alex Rodriguez,250070,Pereira's Liquor,318 Morris Ave,Union,Union,Elizabeth,Union,Off Premise,1.00,152.00
Alex Rodriguez,250072,Picacho Liquors,303 Elizabeth Ave,Union,Union,Elizabeth,Union,Off Premise,1.00,328.00
