Sales Rep Assigned,Brand Family,Customer Num,Customer Name,Date,Units   5/1/2026 - 7/31/2026,Units   8/1/2026 - 8/31/2026
Phil Ernst,Angry Orchard,83010,Bottle King (A) Glen Rock,6/1/2026,0,
Brian Sengebush,Angry Orchard,190601,Thatcher Mcghee's (A),6/1/2026,0,
Allison Scott,Angry Orchard,12057,YARD HOUSE 8384,6/1/2026,0,
Allison Scott,Angry Orchard,24026,Rock Bar,6/1/2026,0,
Nick Melissari,Angry Orchard,31039,Yard House 8390,6/1/2026,0,
Brian Sengebush,Angry Orchard,191008,Jefferson Diner & Tav(P),6/1/2026,0,
Nick Melissari,Angry Orchard,38020,Lodi Lanes (A),6/1/2026,0,
Allison Scott,Angry Orchard,17009,Jimmy Geez (P),6/1/2026,0,
Allison Scott,Angry Orchard,24029,Dingo's Den (P),6/1/2026,0,
Mike Ast,Angry Orchard,84012,Bareburger (Ridgewood),6/1/2026,0,
Nick Melissari,Angry Orchard,31043,House of Que (East Rutherford),6/1/2026,0,
Allison Scott,Angry Orchard,24019,Sharky's Wings(P),6/1/2026,0,
Allison Scott,Angry Orchard,17001,Underdog Lounge(P),6/1/2026,0,
Allison Scott,Angry Orchard,10001,cherry's,6/1/2026,0,
Anthony Palmisano,Angry Orchard,2004,Sam's Bar and Grill,6/1/2026,0,
Anthony Palmisano,Angry Orchard,4007,Karls Stumble Inn,6/1/2026,0,
Anthony Palmisano,Angry Orchard,191207,Daily Planet (A),6/1/2026,0,
Jayson Romine,Angry Orchard,230911,The Right Bottle,6/1/2026,0,
Nick Melissari,Angry Orchard,80018,Millers Paramus Ale House,6/1/2026,0,
Allison Scott,Angry Orchard,12065,"Buffalo Wild Wings - Wayne, NJ",6/1/2026,0,
Allison Scott,Angry Orchard,12022,Grasshopper Too (A),6/1/2026,0,
Mike Ast,Angry Orchard,19009,Diamond Liquor,6/1/2026,0,
Nick Melissari,Angry Orchard,92010,Houlihan's Ramsey,6/1/2026,0,
Allison Scott,Angry Orchard,14002,Applebee's (Totowa) (A),6/1/2026,0,
Paul Mclaughlin,Angry Orchard,57004,River & Henley,6/1/2026,0,
Nick Melissari,Angry Orchard,28031,Shawn's Crazy Saloon,6/1/2026,0,
Shane Barreca,Angry Orchard,75004,Cork & Keg (A),6/1/2026,0,
Brian Sengebush,Angry Orchard,1017,Millers Ale House Rockawa,6/1/2026,0,
Paul Mclaughlin,Angry Orchard,41023,The Whiskey Priest (Hackensack),6/1/2026,0,
Allison Scott,Angry Orchard,13015,Rare The Steakhouse (Z),6/1/2026,0,
Paul Mclaughlin,Angry Orchard,73002,The Cornerstone (P),6/1/2026,0,
Jayson Romine,Angry Orchard,230427,ShopRite Wine & Spirits of Newton#830,6/1/2026,0,
Nick Melissari,Angry Orchard,39017,Bj's Rest & Brewhouse(A),6/1/2026,0,
Nick Melissari,Angry Orchard,28008,Tavern On Ridge,6/1/2026,0,
Shane Barreca,Angry Orchard,75004,Cork & Keg (A),5/29/2026,2,
Allison Scott,Angry Orchard,12022,Grasshopper Too (A),5/29/2026,1,
Allison Scott,Angry Orchard,17001,Underdog Lounge(P),5/29/2026,1,
Nick Melissari,Angry Orchard,31043,House of Que (East Rutherford),5/28/2026,1,
Allison Scott,Angry Orchard,12065,"Buffalo Wild Wings - Wayne, NJ",5/28/2026,1,
Robin Feldman,Angry Orchard,81005,The Craftsman,5/28/2026,1,
Shane Barreca,Angry Orchard,92011,Bottle King (A) Ramsey,5/28/2026,1,
Nick Melissari,Angry Orchard,28008,Tavern On Ridge,5/27/2026,1,
Phil Ernst,Angry Orchard,83010,Bottle King (A) Glen Rock,5/26/2026,1,
Allison Scott,Angry Orchard,17009,Jimmy Geez (P),5/26/2026,1,
Allison Scott,Angry Orchard,24019,Sharky's Wings(P),5/26/2026,1,
Brian Sengebush,Angry Orchard,190601,Thatcher Mcghee's (A),5/26/2026,1,
Allison Scott,Angry Orchard,24026,Rock Bar,5/26/2026,1,
Jayson Romine,Angry Orchard,230911,The Right Bottle,5/22/2026,1,
Allison Scott,Angry Orchard,17003,D'CARBON BAR AND GRILL haledon,5/21/2026,1,
Allison Scott,Angry Orchard,12036,Brokedown Palace,5/21/2026,1,
Jayson Romine,Angry Orchard,230427,ShopRite Wine & Spirits of Newton#830,5/21/2026,1,
Nick Melissari,Angry Orchard,80018,Millers Paramus Ale House,5/20/2026,1,
Allison Scott,Angry Orchard,24019,Sharky's Wings(P),5/20/2026,1,
Allison Scott,Angry Orchard,24026,Rock Bar,5/20/2026,1,
Allison Scott,Angry Orchard,12057,YARD HOUSE 8384,5/19/2026,1,
Allison Scott,Angry Orchard,17009,Jimmy Geez (P),5/19/2026,1,
Nick Melissari,Angry Orchard,31039,Yard House 8390,5/19/2026,1,
Anthony Palmisano,Angry Orchard,4007,Karls Stumble Inn,5/14/2026,1,
Nick Melissari,Angry Orchard,92010,Houlihan's Ramsey,5/13/2026,1,
Brian Sengebush,Angry Orchard,191008,Jefferson Diner & Tav(P),5/13/2026,1,
Allison Scott,Angry Orchard,24026,Rock Bar,5/13/2026,1,
Allison Scott,Angry Orchard,8004,The Side Door (P),5/13/2026,1,
Nick Melissari,Angry Orchard,38020,Lodi Lanes (A),5/13/2026,1,
Mike Ast,Angry Orchard,19009,Diamond Liquor,5/12/2026,1,
Brian Sengebush,Angry Orchard,190601,Thatcher Mcghee's (A),5/12/2026,1,
Allison Scott,Angry Orchard,17009,Jimmy Geez (P),5/12/2026,1,
Paul Mclaughlin,Angry Orchard,73002,The Cornerstone (P),5/8/2026,2,
Allison Scott,Angry Orchard,12022,Grasshopper Too (A),5/8/2026,1,
Shane Barreca,Angry Orchard,75004,Cork & Keg (A),5/8/2026,1,
Nick Melissari,Angry Orchard,28031,Shawn's Crazy Saloon,5/8/2026,1,
Anthony Palmisano,Angry Orchard,2004,Sam's Bar and Grill,5/8/2026,1,
Allison Scott,Angry Orchard,14002,Applebee's (Totowa) (A),5/7/2026,1,
Allison Scott,Angry Orchard,13015,Rare The Steakhouse (Z),5/7/2026,-1,
Anthony Palmisano,Angry Orchard,191207,Daily Planet (A),5/6/2026,1,
Nick Melissari,Angry Orchard,39017,Bj's Rest & Brewhouse(A),5/6/2026,1,
Mike Ast,Angry Orchard,84012,Bareburger (Ridgewood),5/6/2026,1,
Allison Scott,Angry Orchard,12057,YARD HOUSE 8384,5/5/2026,1,
Allison Scott,Angry Orchard,24029,Dingo's Den (P),5/5/2026,1,
Nick Melissari,Angry Orchard,80018,Millers Paramus Ale House,5/5/2026,1,
Brian Sengebush,Angry Orchard,1017,Millers Ale House Rockawa,5/5/2026,1,
Allison Scott,Angry Orchard,10001,cherry's,5/5/2026,1,
Paul Mclaughlin,Angry Orchard,41023,The Whiskey Priest (Hackensack),5/5/2026,1,
Allison Scott,Angry Orchard,17009,Jimmy Geez (P),5/4/2026,0,
Allison Scott,Angry Orchard,13016,THE TIES,5/4/2026,0,
Allison Scott,Angry Orchard,12036,Brokedown Palace,5/4/2026,0,
Allison Scott,Angry Orchard,14002,Applebee's (Totowa) (A),5/4/2026,0,
Allison Scott,Angry Orchard,11011,Sunset Pub & Grill(Z),5/4/2026,0,
Brian Sengebush,Angry Orchard,1024,Buffalo Wild Wings (Rockaway),5/4/2026,0,
Allison Scott,Angry Orchard,12065,"Buffalo Wild Wings - Wayne, NJ",5/4/2026,0,
Allison Scott,Angry Orchard,17001,Underdog Lounge(P),5/4/2026,0,
Allison Scott,Angry Orchard,12022,Grasshopper Too (A),5/4/2026,0,
Nick Melissari,Angry Orchard,80009,Houlihans (Para)(A),5/4/2026,0,
Anthony Palmisano,Angry Orchard,2004,Sam's Bar and Grill,5/4/2026,0,
Allison Scott,Angry Orchard,24029,Dingo's Den (P),5/4/2026,0,
Brian Sengebush,Angry Orchard,1017,Millers Ale House Rockawa,5/4/2026,0,
Shane Barreca,Angry Orchard,92011,Bottle King (A) Ramsey,5/4/2026,0,
Nick Melissari,Angry Orchard,31043,House of Que (East Rutherford),5/4/2026,0,
Nick Melissari,Angry Orchard,31026,Rockafella's,5/4/2026,0,
Allison Scott,Angry Orchard,13018,Chili's Little Falls,5/4/2026,0,
Anthony Palmisano,Angry Orchard,4007,Karls Stumble Inn,5/4/2026,0,
Paul Mclaughlin,Angry Orchard,73002,The Cornerstone (P),5/4/2026,0,
Robin Feldman,Angry Orchard,12023,The Village Inn,5/4/2026,0,
Allison Scott,Angry Orchard,8004,The Side Door (P),5/4/2026,0,
Nick Melissari,Angry Orchard,80018,Millers Paramus Ale House,5/4/2026,0,
Allison Scott,Angry Orchard,24026,Rock Bar,5/4/2026,1,
Allison Scott,Angry Orchard,10001,cherry's,5/4/2026,0,
Nick Melissari,Angry Orchard,28008,Tavern On Ridge,5/4/2026,1,
Brian Sengebush,Angry Orchard,190601,Thatcher Mcghee's (A),5/4/2026,0,
Nick Melissari,Angry Orchard,31039,Yard House 8390,5/4/2026,0,
Nick Melissari,Angry Orchard,38020,Lodi Lanes (A),5/4/2026,0,
Allison Scott,Angry Orchard,12057,YARD HOUSE 8384,5/4/2026,0,
Nick Melissari,Angry Orchard,34002,Heights Bar (P),5/4/2026,1,
Allison Scott,Angry Orchard,24019,Sharky's Wings(P),5/4/2026,0,
Allison Scott,Angry Orchard,24026,Rock Bar,5/1/2026,1,
Paul Mclaughlin,Angry Orchard,57004,River & Henley,5/1/2026,1,
