Sales Rep Assigned,Brand Family,Customer Num,Customer Name,Date,Placement Count   5/1/2026 - 7/31/2026,Placement Count   8/1/2026 - 8/31/2026,Cases   5/1/2026 - 7/31/2026,Cases   8/1/2026 - 8/31/2026
Dan Lagala,Peroni,49072,JJ Dak,8/14/2026,,1.00,,1.00
Derrick Laws,Coors,20058,Krystal Bar(P) & Liqs.,8/14/2026,,1.00,,10.00
Allison Scott,Peroni,12048,Anthonys CF Pizza (Wayne),8/14/2026,,1.00,,1.00
Nick Melissari,Peroni,96010,Aldo's Italian Rest(Z),8/14/2026,,1.00,,2.00
Brian Sengebush,Peroni,190102,Lake Valhalla Club (P),8/14/2026,,1.00,,1.00
Robin Feldman,Peroni,192156,Hapgoods Restaurant,8/14/2026,,1.00,,1.00
Nick Melissari,Peroni,93007,Rp Prime Restaurant,8/14/2026,,1.00,,2.00
Allison Scott,Peroni,22016,Johnny A's (P) Hitchn Pos,8/14/2026,,1.00,,1.00
Paul Mclaughlin,Peroni,69005,Let's Meat Steakhouse,8/14/2026,,1.00,,1.00
Chris Payton,Peroni,80028,El Cid,8/14/2026,,1.00,,1.00
Paul Mclaughlin,Peroni,65007,86 and Vine,8/14/2026,,1.00,,1.00
Nick Melissari,Peroni,28027,Roma Rest. (P),8/14/2026,,1.00,,1.00
Dan Lagala,Peroni,49048,River Palm (A),8/14/2026,,2.00,,7.00
Nick Melissari,Peroni,85003,Arturo's Restaurnt,8/14/2026,,1.00,,1.00
Robin Feldman,Peroni,50028,Amarone (P),8/14/2026,,1.00,,2.00
Nick Melissari,Peroni,31028,The Union Bar & Provisions,8/13/2026,,1.00,,1.00
Mike Ast,Coors,83008,Glen Rock Ac Clb(P),8/13/2026,,1.00,,2.00
Allison Scott,Coors,12026,WAYNE ALE HOUSE & PIZZA,8/13/2026,,1.00,,1.00
Anthony Palmisano,Coors,230929,Airport Pub & Pkg,8/13/2026,,1.00,,5.00
Nick Melissari,Peroni,94013,Portobello Feasts,8/13/2026,,2.00,,4.00
Anthony Palmisano,Coors,3011,Flip's Bar (P),8/13/2026,,1.00,,1.00
Allison Scott,Peroni,15004,Blackjack Mulligan's Public House,8/13/2026,,1.00,,1.00
Paul Mclaughlin,Peroni,70008,Hearth & Tap Co.,8/13/2026,,1.00,,1.00
Brian Sengebush,Coors,191504,Jefferson House (A),8/13/2026,,1.00,,1.00
Paul Mclaughlin,Coors,70008,Hearth & Tap Co.,8/13/2026,,1.00,,5.00
Paul Mclaughlin,Peroni,59005,Hackensack Golf (A),8/13/2026,,1.00,,1.00
Phil Ernst,Coors,76021,Saddle Brook Liquor & Bar,8/13/2026,,3.00,,8.00
Brian Sengebush,Coors,191508,Elks Post 782 (Z),8/13/2026,,1.00,,1.00
