Customer Num,Customer Name,Sales Rep Assigned,City,Route,On-Off Premise
250086,Linden Discount Liquors,Andrew Lundy,Unknown,Unknown,Off Premise
250077,Linwood Inn Tap House,Andrew Lundy,Unknown,Unknown,On Premise
250110,Liquor City @ Sams Club,Andrew Lundy,Linden,Elizabeth Tue,Off Premise
250442,Liquor Rangers,Andrew Lundy,Unknown,Unknown,Off Premise
250101,Luis Liquors,Andrew Lundy,Unknown,Unknown,Off Premise
250136,M & M Liquors,Andrew Lundy,Unknown,Unknown,Off Premise
250801,Main Street Spirits,Andrew Lundy,Unknown,Unknown,Off Premise
250069,Mega Liquors,Andrew Lundy,Elizabeth,10083 Wed,Off Premise
250440,Metro Liquor (Linden),Andrew Lundy,Unknown,Unknown,Off Premise
150249,Millburn Standard,Andrew Lundy,Unknown,Unknown,On Premise
250078,Milton Liquors,Andrew Lundy,Springfield,Newark Fri,Off Premise
250116,Office Beer Bar&Grill(A),Andrew Lundy,Unknown,Unknown,On Premise
250048,Park Beverage,Andrew Lundy,Unknown,Unknown,Off Premise
250084,Parkway Liquors(P),Andrew Lundy,Unknown,Unknown,Off Premise
251004,Payless Liquor_2,Andrew Lundy,Unknown,Unknown,Off Premise
250012,Peterson's Wine Unltd,Andrew Lundy,Unknown,Unknown,Off Premise
250042,Pied Piper Liquor,Andrew Lundy,Unknown,Unknown,Off Premise
250119,Pointe Grande Liquor,Andrew Lundy,Elizabeth,10073 Wed,Off Premise
250046,Pregame Liquors,Andrew Lundy,Unknown,Unknown,Off Premise
250142,Queen City Liquors,Andrew Lundy,Plainfield,Elizabeth Fri,Off Premise
250057,Rahway Discount Liquors (A),Andrew Lundy,Unknown,Unknown,Off Premise
250097,Riverside Inn,Andrew Lundy,Unknown,Unknown,On Premise
250032,Rotondo's Liquor,Andrew Lundy,Unknown,Unknown,Off Premise
250011,Shop Rite of Westfield,Andrew Lundy,Westfield,Elizabeth Fri,Off Premise
